scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count,priority_decisions,total_priority_computation_time_s,mean_decision_latency_ms,p95_decision_latency_ms,max_decision_latency_ms,solver_calls_per_replication,solver_total_time_per_replication_s,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_time_per_call_ms,solver_p95_time_per_call_ms,solver_max_time_per_call_ms,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
base,C1,6031,1814,1808,75.33333333333333,99.66923925027564,1.011277970258262,53.2811930986473,0.32939484867124313,0,3.6934950385887566,100,0.42624787753383264,0.0,0,100.0,21.787999999999947,3.7805555555555452,25.150764087820242,20.141416921708256,5.009347166111981,80.08272373506989,29.67668962281461,0.0,20.141416921708256,17.46580839431961,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6032,1894,1891,78.79166666666667,99.8416050686378,2.8551595110796244,91.15363241570581,1.7302879484213036,0,13.35797254487856,100,0.4041770810196799,14.813061034657778,0,100.0,22.747999999999916,3.9472222222222118,25.09625083291523,20.11733204788557,4.97891878502967,80.16070679968055,29.678888888888554,0.0,20.11733204788557,17.42795196730225,0,0,74.06530517328889,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6033,1853,1846,76.91666666666667,99.62223421478683,0.9883602473437688,89.21455521256127,0.38629221006359876,0,3.130059363194815,100,0.4071336263568807,8.121893297748612,0,110.0,22.25799999999993,3.8619444444444344,28.13189451152293,22.135832770850325,5.996061740672607,78.6858942677444,29.678888888888554,0.0,22.135832770850325,19.536037855224258,0,0,40.60946648874305,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6034,1714,1709,71.20833333333333,99.70828471411902,0.7601778274257456,67.97793927501382,0.28220939727086786,0,0.875145857642945,100,0.4534628344735568,3.558839659520284,0,100.0,20.587999999999994,3.572222222222213,25.353379589519534,20.152076240691102,5.201303348828433,79.48477310307568,29.678888888888544,0.0,20.152076240691102,17.606513603833008,0,0,17.794198297601422,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6035,1768,1764,73.5,99.77375565610859,0.6288482515251637,53.073181500824894,0.25726032608905586,0,0.5656108597285048,100,0.43912472437300865,0.0,0,100.0,21.23599999999997,3.684722222222213,25.115099225716914,20.111280989905197,5.003818235811721,80.07645444343697,29.678888888888554,0.0,20.111280989905197,17.44104112897008,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6036,1759,1755,73.125,99.77259806708358,1.9652036245994873,88.81032087900014,0.9394474090901798,0,11.085844229675956,100,0.441315340300407,11.401010973377307,0,100.0,21.127999999999975,3.6659722222222126,25.226477491853494,20.132022984136768,5.094454507716725,79.80512931556972,29.678888888888554,0.0,20.132022984136768,17.51838714712048,0,0,57.00505486688653,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6037,1836,1834,76.41666666666667,99.89106753812636,0.8298207416364349,55.26528735127916,0.2873190561379998,0,2.2331154684095855,100,0.4128393635473634,0.0,0,110.0,22.053999999999938,3.8265277777777675,27.77782912294918,22.155835221152714,5.621993901796468,79.76085936408994,29.678888888888554,0.0,22.155835221152714,19.290159113159152,0,0,0.0,0,0,0,11,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6038,1771,1770,73.75,99.94353472614343,1.88206063537916,72.7753468175797,1.0024628595345824,0,10.333145115753817,100,0.4378020652274598,3.252885395427875,0,100.0,21.27199999999997,3.6909722222222126,25.291256518114448,20.12637398466846,5.164882533445981,79.57838698228883,29.678888888888554,0.0,20.12637398466846,17.563372582023923,0,0,16.264426977139372,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6039,1732,1731,72.125,99.94226327944573,2.254988017384336,94.67266608990825,1.4104188212672144,0,8.371824480369517,100,0.4488816332889404,16.025757905357604,0,100.0,20.803999999999984,3.6097222222222127,25.202612015981465,20.105629834835266,5.096982181146202,79.775976482461,29.678888888888544,0.0,20.105629834835266,17.501813899987127,0,0,80.12878952678803,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
base,C1,6040,1840,1834,76.41666666666667,99.67391304347825,1.8611002576057862,80.23421393012262,0.9923447051168379,0,9.728260869565219,100,0.4054387013263875,8.37482310290555,0,120.0,22.103999999999935,3.83499999999999,30.04206752250049,24.175117043963198,5.866950478537295,80.4708831236627,29.678244929194307,0.0,24.175117043963198,20.86254689062534,0,0,41.87411551452775,0,0,0,12,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
