scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase
stress_near_transition,C2,5008,1677,1672,69.66666666666667,99.70184853905785,6.108420377351551,312.5659407374546,4.762163624368542,56.267409470752085,33.232169954476475,43.73259052924791,0.540394905030528,140.59079649382466,0,9800.0,45.60199999999977,5.263055555555558,63.94096786461385,51.26859483791529,12.672373026698583,80.18113667980353,19.23899848756111,19.59806214836894,31.670532689546345,88.80689981196372,3.0,6,984.1355754567726,750,28.799999999999997,164,980,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5009,1655,1649,68.70833333333333,99.63746223564954,10.959317526522677,341.26546901009414,9.688323003534293,55.10204081632652,28.506097560975608,44.89795918367347,0.5445000028447343,174.456312767693,0,6790.0,44.47199999999986,5.157083333333327,64.07199856625385,51.3346403557414,12.737358210512461,80.12024207838412,19.232777777777734,12.625226731712319,38.709413624029075,88.98888689757479,3.0,6,1221.1941893738513,452,28.31858407079646,121,679,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5010,1714,1711,71.29166666666667,99.82497082847142,2.95398934940953,252.92234757057545,1.9113283275515933,51.02639296187683,19.22796795338675,48.97360703812317,0.5291122812441965,85.458819330034,0,8890.0,46.34999999999982,5.3612499999999965,65.92741025292497,52.6184300323168,13.30898022060817,79.81267553275734,19.353474291586597,17.462708965868796,35.15572106644801,91.56584757350693,3.0,6,598.211735310238,690,20.724637681159418,140,889,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5011,1606,1598,66.58333333333333,99.50186799501867,1.1169013104353136,231.71439746156332,0.7359888383213169,36.66666666666667,3.683385579937304,63.33333333333333,0.5670569592792766,48.71021086118108,0,10640.0,43.40799999999979,5.021944444444447,57.603292523244605,46.05089166052424,11.552400862720365,79.94489488937003,19.276758630515697,21.418495708291367,24.632395952232866,80.00457294895084,3.0,6,340.9714760282676,826,21.1864406779661,177,1064,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5012,1709,1700,70.83333333333333,99.4733762434172,1.7243016560227191,226.2327592790264,1.0650782398117056,46.89265536723164,6.937269372693722,53.10734463276836,0.5389872450017938,89.70735842677992,0,9200.0,46.377999999999815,5.356944444444441,61.45042851909588,49.28331147750313,12.167117041592745,80.20011034127812,19.22319545844977,17.613780428274662,31.669531049228475,85.34781738763317,3.0,6,627.9515089874595,691,32.127351664254704,147,920,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5013,1595,1589,66.20833333333333,99.62382445141066,0.9938163715004839,165.86064704738163,0.6424592381803979,34.78260869565217,2.513747054202675,65.21739130434783,0.5667431033465478,24.717694421121866,0,9610.0,43.6239999999998,5.023194444444446,58.861475913339916,47.08184649232257,11.77962942101738,79.98753983274194,19.484693587249936,18.951814017933057,28.130032474389512,81.75204987963882,3.0,6,173.02386094785305,716,28.212290502793298,171,961,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5014,1657,1653,68.875,99.75859987929994,0.6286133658587211,128.71939929868847,0.46914505991523625,37.048192771084345,0.67924528301887,62.951807228915655,0.5589274932642436,13.577324269845434,0,11260.0,45.80599999999977,5.252222222222225,56.60054339482121,45.26823712661136,11.332306268209857,79.97844969586154,19.419453486844155,20.654644573946285,24.61359255266507,78.61186582614059,3.0,6,95.04126988891804,795,30.440251572327043,209,1126,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5015,1687,1682,70.08333333333333,99.7036158861885,1.7309227236006863,271.14208347336364,1.0795139207371187,44.674556213017745,8.080059303187548,55.325443786982255,0.5387891834582648,60.835888089989275,0,8110.0,45.235999999999834,5.250138888888885,63.75025153703456,50.87188999234741,12.87836154468714,79.79872826508661,19.336515454836693,15.709507914037623,35.16238207830979,88.54201602365912,3.0,6,425.851216629925,622,22.668810289389068,138,811,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5016,1696,1691,70.45833333333333,99.70518867924528,1.3899821886251622,209.05030425444286,0.8858594403941175,41.06145251396648,4.1853512705530616,58.93854748603352,0.5418162227392276,72.54424863999724,0,9420.0,45.9039999999998,5.307777777777777,61.324623739429256,49.11757057049612,12.207053168933136,80.09436923608145,19.32887134182376,17.478408140401577,31.63916243009455,85.17308852698508,3.0,6,507.80974047998063,660,21.06060606060606,184,942,nan,nan,0.0,0,reference,reference
stress_near_transition,C2,5017,1724,1714,71.41666666666667,99.4199535962877,1.1075186073388976,164.43987968096346,0.7354792910984813,38.44086021505376,3.99408284023669,61.55913978494624,0.5424079049171147,39.30115344979278,0,9950.0,46.581999999999795,5.38986111111111,58.226415921774155,46.60926326230785,11.617152659466303,80.0483123071259,19.389694180957,18.491402730087653,28.1178605322202,80.87002211357522,3.0,6,275.10807414854946,706,25.920679886685555,190,995,nan,nan,0.0,0,reference,reference
