phase,weight_id,scenario,metric,mean_difference,median_difference,ci95_low,ci95_high,paired_replications,direction,C4_low_soc_stops_total,C4_failure_count_total,soc,next_task_energy,idle,deadline
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,stress_strongly_constrained,urgent_on_time,-1.2665916235233725,-1.248765528353864,-1.5340117692130317,-0.9991714778337133,50,positive_better,0.0,0,0.0,0.0,1.0,0.0
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,stress_transition,delay,-66.99925599282523,-67.87250709804556,-71.43080274407284,-62.56770924157762,50,negative_better,0.0,0,0.0,0.0,1.0,0.0
coarse,soc0.00_next_task_energy0.00_idle1.00_deadline0.00,stress_transition,urgent_on_time,-10.369710553028163,-10.406353135313529,-11.3069807175403,-9.432440388516026,50,positive_better,0.0,0,0.0,0.0,1.0,0.0
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,primary,delay,-39.39714907035707,-42.39604686105987,-44.84421519310845,-33.95008294760569,50,negative_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,primary,urgent_on_time,-1.909098364886583,-1.7738446411012783,-2.319652398620037,-1.4985443311531288,50,positive_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_near_transition,delay,-11.938162729902606,-6.007864412047951,-16.721186801399107,-7.1551386584061065,50,negative_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_near_transition,urgent_on_time,-14.342998131124718,-14.709980311979404,-15.919666165938748,-12.766330096310687,50,positive_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_non_binding,delay,1.6808714451165552e-05,3.787331719017073e-05,-5.042195462719069e-05,8.40393835295218e-05,50,negative_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_strongly_constrained,delay,-38.545417901212616,-37.491794955394084,-43.15284575411265,-33.937990048312585,50,negative_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_strongly_constrained,urgent_on_time,-1.1301671445406989,-1.0648176108225629,-1.3809338388132466,-0.8794004502681512,50,positive_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_transition,delay,-52.297315627713715,-48.122411708703474,-56.75579939834675,-47.83883185708068,50,negative_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.00_deadline0.75,stress_transition,urgent_on_time,-9.058637201344899,-9.053651266766025,-9.896962396520541,-8.220312006169257,50,positive_better,0.0,0,0.0,0.25,0.0,0.75
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,primary,delay,-37.86038485989273,-41.45034029526457,-44.02133279183257,-31.699436927952895,50,negative_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,primary,urgent_on_time,-1.9557557681742688,-1.5374415352717103,-2.4317186545294334,-1.4797928818191042,50,positive_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_near_transition,delay,-11.23112627504727,-2.0673556526714183,-16.407041160316187,-6.055211389778354,50,negative_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_near_transition,urgent_on_time,-13.121833158708387,-13.422776518014615,-14.510606039473307,-11.733060277943467,50,positive_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_non_binding,delay,-2.4121580425797152e-05,-4.476409565380701e-05,-9.618570438055126e-05,4.7942543528956946e-05,50,negative_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_non_binding,urgent_on_time,0.0,0.0,0.0,0.0,50,positive_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_strongly_constrained,delay,-42.18623170568264,-43.38814219335424,-47.01191320439139,-37.36055020697388,50,negative_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_strongly_constrained,urgent_on_time,-1.2257203866776931,-1.0247450736640515,-1.494388274736935,-0.9570524986184512,50,positive_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_transition,delay,-49.8994211072641,-52.53692044011082,-55.20376862393038,-44.59507359059781,50,negative_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.25_deadline0.50,stress_transition,urgent_on_time,-8.690179389613887,-9.012005438725925,-9.674828845257231,-7.705529933970542,50,positive_better,0.0,0,0.0,0.25,0.25,0.5
coarse,soc0.00_next_task_energy0.25_idle0.50_deadline0.25,primary,delay,-39.601823835187304,-41.397620743028966,-45.82899753655203,-33.37465013382258,50,negative_better,0.0,0,0.0,0.25,0.5,0.25
