scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,weight_id,phase,soc,next_task_energy,idle,deadline
stress_non_binding,C4,5026,1797,1794,74.75,99.8330550918197,0.2774182244540455,3.504569957545008,0.0069092304590860215,5.675675675675674,0.0,94.32432432432432,0.37392024009977953,1.4210854715202004e-16,0,24320.0,26.42799999999949,4.081527777777802,45.6887135640793,36.55071597660076,9.137997587478637,79.99944214961903,51.9259694973175,36.55071597660076,0.0,31.728273308388363,1.5,3,7.105427357601002e-16,332,54.21686746987952,447,2432,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5027,1802,1798,74.91666666666667,99.7780244173141,0.2866481966062422,3.287276861629531,0.01048321181233123,8.923884514435699,0.0,91.0761154855643,0.3654635585189227,0.0,0,25460.0,26.715999999999486,4.107777777777801,48.23311893318783,38.56344911549383,9.669669817694054,79.95221948825588,52.362355513078064,38.56344911549383,0.0,33.4952214813804,1.5,3,0.0,350,60.57142857142858,458,2546,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5028,1830,1827,76.125,99.8360655737705,0.26210208688924497,4.109203137883378,0.006215140830132975,5.917159763313606,0.0,94.0828402366864,0.36592954716717396,2.3684757858670006e-16,0,25330.0,27.025999999999463,4.164305555555578,45.26536301981736,36.204051430458975,9.061311589358429,79.9817984771462,55.541128341925685,36.204051430458975,0.0,31.434279874873106,1.5,3,1.1842378929335002e-15,266,58.64661654135338,495,2533,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5029,1872,1869,77.875,99.83974358974359,0.28645258678642466,2.9237787181876533,0.0021186070052545474,3.6363636363636376,0.0,96.36363636363636,0.3469969648389505,9.473903143468003e-17,0,25070.0,27.477999999999472,4.248194444444463,47.881092657977824,38.295656454482796,9.585436203495048,79.98074882717212,58.52111491331634,38.295656454482796,0.0,33.25075879026234,1.5,3,4.736951571734001e-16,348,62.93103448275862,489,2507,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5030,1828,1825,76.04166666666667,99.83588621444201,0.22451412749163685,4.0985211984910315,0.008164691723345774,5.080213903743314,0.0,94.91978609625669,0.3604039836832743,0.0,0,26390.0,27.213999999999455,4.1748611111111344,47.45456587402126,37.95428345957907,9.500282414442239,79.98025640006313,50.1553173886789,37.95428345957907,0.0,32.954559634736945,1.5,3,0.0,287,49.825783972125436,501,2639,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5031,1815,1811,75.45833333333333,99.77961432506886,0.17150728234300056,2.5060172440593305,0.0008189872390575588,1.8181818181818188,0.0,98.18181818181819,0.3692889651042517,6.833052642226297e-15,0,25920.0,26.96399999999947,4.1412500000000225,45.55597256246938,36.43802870860204,9.11794385386739,79.98518450821304,52.64747283909151,36.43802870860204,0.0,31.636092057270336,1.5,3,3.4165263211131486e-14,279,60.93189964157706,491,2592,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5032,1793,1792,74.66666666666667,99.94422755158952,0.17783704525589658,3.2127410031025496,0.0010476494696533304,2.3121387283236983,0.0,97.6878612716763,0.3745438047069147,8.526512829121203e-16,0,25420.0,26.59999999999948,4.088472222222245,45.8642303055107,36.67832501312262,9.18590529238815,79.97152632629185,61.06949036090062,36.67832501312262,0.0,31.850159934382383,1.5,3,4.263256414560601e-15,303,59.07590759075908,479,2542,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5033,1780,1779,74.125,99.9438202247191,0.16146868068342377,2.2464665615567356,0.00199432196266811,2.1739130434782594,0.0,97.82608695652173,0.3751930372137148,3.789561257387201e-16,0,26370.0,26.633999999999475,4.074583333333356,46.93050660306264,37.548877728446215,9.3816288746165,80.00952993334151,52.86088725733777,37.548877728446215,0.0,32.59062958546012,1.5,3,1.8947806286936005e-15,292,55.13698630136986,501,2637,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5034,1752,1746,72.75,99.65753424657534,0.16051044540096546,2.882082900959843,0.0017974215422890411,1.9943019943019946,0.0,98.00569800569801,0.38804097384206615,9.473903143468003e-17,0,25350.0,26.09399999999951,4.0020833333333545,45.10524941685614,36.086171380917854,9.019078035938362,80.00437165841767,54.862918879615364,36.086171380917854,0.0,31.323089872816723,1.5,3,4.736951571734001e-16,276,56.52173913043478,462,2535,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5035,1872,1868,77.83333333333333,99.78632478632478,0.2540091285300045,3.2173014923996863,0.006475438240661112,5.384615384615388,0.0,94.61538461538461,0.3423942576091667,0.0,0,26540.0,27.771999999999437,4.2686111111111344,49.53806726069999,39.621939160194685,9.916128100505357,79.9828119084249,50.60215199608893,39.621939160194685,0.0,34.40143559770828,1.5,3,0.0,345,64.6376811594203,548,2654,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5036,1872,1871,77.95833333333333,99.94658119658119,0.23497343641408147,3.252276302470515,0.0042209445316912465,3.93258426966292,0.0,96.06741573033707,0.3499529908440144,1.8947806286936006e-16,0,25850.0,27.633999999999443,4.259027777777803,46.816923296154826,37.43947927505586,9.377444021099011,79.96996948778742,54.413573764057666,37.43947927505586,0.0,32.51175228899638,1.5,3,9.473903143468002e-16,296,53.37837837837838,504,2585,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5037,1785,1784,74.33333333333333,99.94397759103641,0.19785243147849138,3.3319811365511365,0.002581502243836042,3.2258064516129004,0.0,96.7741935483871,0.3770180718107389,2.842170943040401e-16,0,25530.0,26.5259999999995,4.073333333333355,45.77349414813396,36.5777860351184,9.195708113015622,79.91040823045743,50.648799999581314,36.5777860351184,0.0,31.787148713981864,1.5,3,1.4210854715202005e-15,237,56.118143459915615,500,2553,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5038,1797,1796,74.83333333333333,99.94435169727323,0.19943676399078408,3.00357422670117,0.001936572796410392,2.4844720496894457,0.0,97.51552795031056,0.37476811672586907,0.0,0,25000.0,26.563999999999492,4.090972222222244,45.38347797868711,36.281422575682726,9.102055403004417,79.94412105815498,51.57311252589941,36.281422575682726,0.0,31.516304151865974,1.5,3,0.0,249,61.44578313253012,453,2500,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5039,1760,1755,73.125,99.7159090909091,0.22513404440801552,4.030037692356806,0.007321209354438511,4.62046204620462,0.0,95.37953795379538,0.38088859248886003,0.0,0,25460.0,26.211999999999517,4.020277777777798,46.88010670401037,37.50118214909585,9.378924554914601,79.99380715122774,50.703539992587075,37.50118214909585,0.0,32.55562965556269,1.5,3,0.0,278,54.31654676258992,495,2546,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5040,1858,1854,77.25,99.78471474703983,0.26445165957543043,2.74738725269652,0.003227387954847134,3.4482758620689613,0.0,96.55172413793103,0.35255050220429734,0.0,0,24950.0,27.28599999999946,4.217361111111133,47.28181920645296,37.80110714185976,9.480712064593256,79.94850404719773,52.67737020634282,37.80110714185976,0.0,32.834596671147835,1.5,3,0.0,344,52.90697674418605,483,2495,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5041,1829,1824,76.0,99.72662657189721,0.202749586931343,2.875333856903141,0.0020150270691131904,2.857142857142858,0.0,97.14285714285714,0.36068591447295756,0.0,0,25660.0,27.07999999999947,4.166805555555577,47.253070789735276,37.79143302394273,9.461637765792613,79.97667112917478,51.804760063117826,37.79143302394273,0.0,32.814632492871674,1.5,3,0.0,289,51.21107266435986,459,2566,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5042,1795,1793,74.70833333333333,99.88857938718662,0.16379229012735508,2.8003615616863198,0.001537153837832308,1.6901408450704203,0.0,98.30985915492958,0.37409847230709586,0.0,0,26120.0,26.76399999999947,4.102361111111134,45.824549969445464,36.64624173819342,9.178308231252137,79.97076187901051,57.20489743308019,36.64624173819342,0.0,31.822604145448217,1.5,3,0.0,241,71.78423236514523,518,2612,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5043,1768,1766,73.58333333333333,99.8868778280543,0.2234906512136516,3.9251239840081933,0.0063607493015313855,4.255319148936165,0.0,95.74468085106383,0.3913308463019255,0.0,0,23670.0,25.949999999999527,4.012083333333354,42.32089533130684,33.87010501739978,8.450790313907103,80.03163626915143,64.42868494981097,33.87010501739978,0.0,29.38951064674081,1.5,3,0.0,244,60.245901639344254,470,2367,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5044,1779,1774,73.91666666666667,99.71894322653176,0.18539393320978298,4.054528390115593,0.0038348042183643603,2.8818443804034533,0.0,97.11815561959655,0.3816419764836243,0.0,0,25690.0,26.485999999999493,4.063055555555577,44.70888846589522,35.74846838816387,8.96042007773137,79.95830273309853,58.66499989258461,35.74846838816387,0.0,31.047839212427192,1.5,3,0.0,240,57.49999999999999,512,2569,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5045,1743,1742,72.58333333333333,99.94262765347102,0.24549951019091498,4.231213438611061,0.009360619865141221,5.0704225352112715,0.0,94.92957746478872,0.3908393839270583,0.0,0,25080.0,25.93199999999952,3.9795833333333546,44.99782178625901,36.00451149842605,8.99331028783304,80.01389860480036,54.90343195646508,36.00451149842605,0.0,31.24848735156872,1.5,3,0.0,267,58.052434456928836,476,2508,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5046,1844,1842,76.75,99.89154013015184,0.2815494983710127,3.47377357270143,0.005398635630261437,4.558404558404561,0.0,95.44159544159544,0.35280609125533546,9.473903143468003e-17,0,25670.0,27.261999999999468,4.198194444444465,48.589807148079274,38.85638543364182,9.733421714437512,79.96818204119542,54.911497864059974,38.85638543364182,0.0,33.74292163061054,1.5,3,4.736951571734001e-16,347,54.17867435158501,464,2567,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
stress_non_binding,C4,5047,1838,1832,76.33333333333333,99.67355821545158,0.23511139240518247,3.0258706354142,0.004495487934208928,3.1088082901554404,0.0,96.89119170984456,0.3542256158666692,0.0,0,25510.0,27.157999999999465,4.183472222222245,48.678778287999094,38.95905701824283,9.719721269756322,80.03293917474406,48.881753594875896,38.95905701824283,0.0,33.80470714444376,1.5,3,0.0,359,53.760445682451255,472,2551,nan,nan,0.0,0,soc0.25_next_task_energy0.00_idle0.75_deadline0.00,coarse,0.25,0.0,0.75,0.0
