scenario,scenario_value,metric,comparison,mean_diff,ci95_low,ci95_high,n
D_power,1,mean_delay,C4-C1,-80.71159291459577,-87.97362862286269,-73.44955720632885,50
D_power,1,mean_delay,C4-C2,0.0,0.0,0.0,50
D_power,1,mean_delay,C4-C3,0.0,0.0,0.0,50
D_power,1,completion_rate,C4-C1,5.425006996939179,4.28247638807498,6.567537605803378,50
D_power,1,completion_rate,C4-C2,0.0,0.0,0.0,50
D_power,1,completion_rate,C4-C3,0.0,0.0,0.0,50
D_power,1,low_soc_stops,C4-C1,0.0,0.0,0.0,50
D_power,1,low_soc_stops,C4-C2,0.0,0.0,0.0,50
D_power,1,low_soc_stops,C4-C3,0.0,0.0,0.0,50
D_power,3,throughput,C4-C1,0.024999999999999148,0.00986944076475822,0.040130559235240074,50
D_power,3,throughput,C4-C2,0.0,0.0,0.0,50
D_power,3,throughput,C4-C3,0.0,0.0,0.0,50
D_power,3,mean_delay,C4-C1,-2.2061269004633117,-2.6586610193098243,-1.7535927816167989,50
D_power,3,mean_delay,C4-C2,-0.00022999636792568666,-0.0002650591099820426,-0.00019493362586933073,50
D_power,3,mean_delay,C4-C3,0.0018515681236943638,0.0017311909845155926,0.0019719452628731353,50
D_power,3,completion_rate,C4-C1,0.0329033447762086,0.013013514559744557,0.05279317499267264,50
D_power,3,completion_rate,C4-C2,0.0,0.0,0.0,50
D_power,3,completion_rate,C4-C3,0.0,0.0,0.0,50
D_power,3,low_soc_stops,C4-C1,0.0,0.0,0.0,50
D_power,3,low_soc_stops,C4-C2,0.0,0.0,0.0,50
D_power,3,low_soc_stops,C4-C3,0.0,0.0,0.0,50
D_power,5,throughput,C4-C1,0.02166666666666629,0.004709636224971656,0.03862369710836092,50
D_power,5,throughput,C4-C2,0.0,0.0,0.0,50
D_power,5,throughput,C4-C3,0.0,0.0,0.0,50
D_power,5,mean_delay,C4-C1,-0.542294743860324,-0.6435562186841812,-0.44103326903646667,50
D_power,5,mean_delay,C4-C2,-0.00023691031605743262,-0.0002726718185081089,-0.00020114881360675638,50
D_power,5,mean_delay,C4-C3,0.002297372812898697,0.0021457090425479855,0.0024490365832494083,50
D_power,5,completion_rate,C4-C1,0.028454812668634873,0.006189796310270439,0.05071982902699931,50
D_power,5,completion_rate,C4-C2,0.0,0.0,0.0,50
D_power,5,completion_rate,C4-C3,0.0,0.0,0.0,50
D_power,5,low_soc_stops,C4-C1,0.0,0.0,0.0,50
D_power,5,low_soc_stops,C4-C2,0.0,0.0,0.0,50
D_power,5,low_soc_stops,C4-C3,0.0,0.0,0.0,50
base,base,throughput,C4-C1,0.024999999999999148,0.00986944076475822,0.040130559235240074,50
base,base,throughput,C4-C2,0.0,0.0,0.0,50
base,base,throughput,C4-C3,0.0,0.0,0.0,50
base,base,mean_delay,C4-C1,-2.2061269004633117,-2.6586610193098243,-1.7535927816167989,50
base,base,mean_delay,C4-C2,-0.00022999636792568666,-0.0002650591099820426,-0.00019493362586933073,50
base,base,mean_delay,C4-C3,0.0018515681236943638,0.0017311909845155926,0.0019719452628731353,50
base,base,completion_rate,C4-C1,0.0329033447762086,0.013013514559744557,0.05279317499267264,50
base,base,completion_rate,C4-C2,0.0,0.0,0.0,50
base,base,completion_rate,C4-C3,0.0,0.0,0.0,50
base,base,low_soc_stops,C4-C1,0.0,0.0,0.0,50
base,base,low_soc_stops,C4-C2,0.0,0.0,0.0,50
base,base,low_soc_stops,C4-C3,0.0,0.0,0.0,50
