scenario,scenario_value,strategy,seed,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,idle_ratio,charging_wait,low_soc_stops,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,pad_utilization,mean_queue,max_queue,total_charging_time_h,mandatory_charging_energy,opportunity_charging_energy,detour_distance_m,charging_sessions,replication
ablation_efficiency,C4-Fixed,C4-Fixed,1048,1746,1745,72.70833333333333,99.94272623138602,0.16644204627964496,2.369796148055684,0.3926535027819775,0.5498484186101605,0,23.633999999999727,3.823750000000009,36.952883839679956,33.25759545571212,3.695288383968014,90.00000000000044,53.511081845808384,25.661724888666832,1.0,2,12.317627946559977,0.0,33.25759545571212,13410.0,1278,41
ablation_efficiency,C4-Fixed,C4-Fixed,1049,1811,1804,75.16666666666667,99.6134732192159,0.20068740855633535,3.159435169076581,0.3721123433335113,0.7453664871486494,0,24.325999999999702,3.953055555555564,37.76433797721692,33.98790417949538,3.7764337977217104,90.00000000000041,57.344446522761096,26.22523470640084,1.0,2,12.588112659072298,0.0,33.98790417949538,12970.0,1227,42
ablation_efficiency,C4-Fixed,C4-Fixed,1050,1744,1740,72.5,99.77064220183486,0.1646537923820044,2.9616291899505693,0.39458766593151,0.8366526825700877,0,23.65599999999972,3.8227777777777865,37.944566202456485,34.150109582211044,3.7944566202456693,90.00000000000054,52.0318381624043,26.350393196150577,1.0,2,12.648188734152148,0.0,34.150109582211044,13640.0,1308,43
ablation_efficiency,C4-Fixed,C4-Fixed,1051,1843,1838,76.58333333333333,99.72870320130222,0.30814745563769613,4.29469810395464,0.3604430981268102,0.8003292691501006,0,24.701999999999686,4.019166666666675,39.386377173189004,35.447739455870284,3.938637717318917,90.00000000000045,55.620408506950724,27.35165081471483,1.0,2,13.128792391062982,0.0,35.447739455870284,12930.0,1232,44
ablation_efficiency,C4-Fixed,C4-Fixed,1052,1823,1817,75.70833333333333,99.67087218869995,0.2098779713691175,4.279195611476583,0.3673952852109611,0.6101407403749955,0,24.557999999999698,3.984166666666674,37.68035933973904,33.91232340576528,3.768035933973919,90.00000000000037,57.910712213729866,26.16691620815228,1.0,2,12.560119779913004,0.0,33.91232340576528,13410.0,1277,45
ablation_efficiency,C4-Fixed,C4-Fixed,1053,1848,1845,76.875,99.83766233766234,0.23318426796094716,4.172325098303069,0.357868747228024,0.649407136723163,0,24.85799999999968,4.036250000000008,38.27305627915496,34.44575065123962,3.827305627915515,90.00000000000041,54.109923001516194,26.5785113049689,1.0,2,12.757685426384976,0.0,34.44575065123962,13410.0,1285,46
ablation_efficiency,C4-Fixed,C4-Fixed,1054,1843,1839,76.625,99.78296256104177,0.29495614388301683,4.181002198002776,0.3602520524132012,0.6919386271744549,0,24.71999999999969,4.020416666666674,38.864051883394154,34.9776466950549,3.8864051883394306,90.00000000000041,50.26106011640582,26.988924919023937,1.0,2,12.954683961131371,0.0,34.9776466950549,13020.0,1245,47
ablation_efficiency,C4-Fixed,C4-Fixed,1055,1794,1793,74.70833333333333,99.94425863991081,0.163594920820823,2.6577727954542447,0.374273986851689,0.697145373305961,0,24.291999999999703,3.9294444444444525,39.25081750691894,35.325735756227225,3.925081750691912,90.00000000000044,49.977901932816906,27.257512157582852,1.0,2,13.083605835639636,0.0,35.325735756227225,13820.0,1318,48
ablation_efficiency,C4-Fixed,C4-Fixed,1056,1819,1817,75.70833333333333,99.89004947773502,0.20119439216521398,3.058051106199249,0.36750156323636457,0.5913167822408362,0,24.499999999999694,3.975138888888897,37.9132930674003,34.12196376066043,3.7913293067400473,90.00000000000041,53.63574439153101,26.328675741250372,1.0,2,12.637764355800092,0.0,34.12196376066043,13360.0,1279,49
ablation_efficiency,C4-Variable,C4-Variable,1007,1791,1788,74.5,99.83249581239531,0.17028340607612494,2.842302952202408,0.37779975686772277,0.6313742461651608,0,24.125999999999713,3.9141666666666746,39.64491907074441,34.496428249147726,5.148490821596747,87.01349140753837,52.09397034604879,27.53119379912813,1.0,2,13.214973023581456,0.0,34.496428249147726,13170.0,1252,0
ablation_efficiency,C4-Variable,C4-Variable,1008,1799,1796,74.83333333333333,99.83324068927182,0.19421598817006544,3.7997388753854464,0.3746721355640016,0.48584103516181115,0,24.19399999999972,3.9288888888888955,38.44392138519484,33.3054311401881,5.138490245006803,86.63380305687123,54.525900420863024,26.6971676286076,1.0,2,12.814640461731596,0.0,33.3054311401881,13030.0,1245,1
ablation_efficiency,C4-Variable,C4-Variable,1009,1807,1802,75.08333333333333,99.72329828444937,0.20329972707014157,3.193828702170625,0.3728329656664316,0.7856615091959579,0,24.27199999999971,3.944305555555563,41.42257576730069,35.77675696261227,5.645818804688518,86.37018896071336,51.231760680961514,28.76567761618114,1.0,2,13.807525255766878,0.0,35.77675696261227,12940.0,1228,2
ablation_efficiency,C4-Variable,C4-Variable,1010,1863,1860,77.5,99.8389694041868,0.163432464666281,2.9362342348049424,0.3528004588879933,0.5090447507581204,0,25.021999999999682,4.066388888888896,39.07309146099356,33.93574868586975,5.137342775123864,86.85196747164889,52.80699071106939,27.1340912923567,1.0,2,13.024363820331178,0.0,33.93574868586975,13330.0,1263,3
ablation_efficiency,C4-Variable,C4-Variable,1011,1768,1762,73.41666666666667,99.6606334841629,0.14220478607695924,3.3596930738055866,0.38663325758269573,0.6925343182846582,0,23.91199999999972,3.870555555555563,41.36522625440074,35.78850290108565,5.576723353315192,86.51832986717486,52.18200136182135,28.725851565556148,1.0,2,13.7884087514669,0.0,35.78850290108565,13480.0,1292,4
ablation_efficiency,C4-Variable,C4-Variable,1012,1775,1773,73.875,99.88732394366198,0.22822494011198924,2.893471020004169,0.38234601321380157,0.7621928551136953,0,23.77599999999974,3.8698611111111174,38.65190894196462,33.542065092431166,5.109843849533509,86.77984092013197,57.1103148088325,26.841603431919946,1.0,2,12.883969647321528,0.0,33.542065092431166,12380.0,1176,5
ablation_efficiency,C4-Variable,C4-Variable,1013,1869,1865,77.70833333333333,99.78598180845371,0.24124831739227112,3.835042331197959,0.350827997639125,0.6772648039573042,0,25.049999999999674,4.075833333333342,40.57353635004822,34.98170304360982,5.59183330643849,86.21802827785369,51.605985216916395,28.17606690975582,1.0,2,13.524512116682729,0.0,34.98170304360982,13110.0,1236,6
ablation_efficiency,C4-Variable,C4-Variable,1014,1806,1803,75.125,99.83388704318938,0.2583175884563376,3.4697216966693305,0.372526164743047,0.6806624851669337,0,24.11599999999972,3.932222222222228,37.787263631094426,32.81489067132657,4.9723729597679505,86.84114042151447,62.51174900721196,26.241155299371222,1.0,2,12.59575454369814,0.0,32.81489067132657,12220.0,1170,7
ablation_efficiency,C4-Variable,C4-Variable,1015,1804,1796,74.83333333333333,99.55654101995566,0.20061151376946904,3.5576982248096707,0.3743249696639691,0.7903394682469467,0,24.22399999999972,3.937222222222228,41.19899239288762,35.43462599851755,5.764366394370155,86.00847724769793,50.87190677155059,28.61041138394984,1.0,2,13.732997464295856,0.0,35.43462599851755,12880.0,1234,8
ablation_efficiency,C4-Variable,C4-Variable,1016,1809,1807,75.29166666666667,99.88944168048646,0.14663276855100224,2.2117606087711463,0.3711368122254011,0.7803198813439557,0,24.34399999999971,3.9518055555555627,40.51238195227259,35.17794267300209,5.334439279270579,86.83257063098641,56.20532978568039,28.133598577967145,1.0,2,13.50412731742418,0.0,35.17794267300209,13180.0,1259,9
ablation_efficiency,C4-Variable,C4-Variable,1017,1799,1794,74.75,99.72206781545303,0.18781875367502807,2.675431488051557,0.37570206535652867,0.5505949483011705,0,24.07199999999973,3.9204166666666724,37.68280523232534,32.79511481486715,4.8876904174582485,87.02938810599642,52.0157058365052,26.168614744670414,1.0,2,12.560935077441776,0.0,32.79511481486715,12420.0,1174,10
ablation_efficiency,C4-Variable,C4-Variable,1018,1826,1825,76.04166666666667,99.94523548740416,0.22438545996265954,3.3238235554847657,0.3649843925939281,0.6591976521657303,0,24.4539999999997,3.980694444444452,38.31724772893424,33.46174578183722,4.855501947097122,87.32815576565925,63.60599449307548,26.609199811759964,1.0,2,12.77241590964474,0.0,33.46174578183722,12710.0,1202,11
