agv_id,strategy,scenario,scenario_value,completed_tasks,min_soc,idle_ratio,charge_h,stops,traction_energy,aux_energy,delivered_kwh,detour_m,replication
3,C2,base,base,355,57.1103148088325,0.3808312316505863,2.8233763168775248,0,4.779999999999945,0.7756944444444459,7.183956481780679,2600.0,1012
4,C2,base,base,355,75.76924257623338,0.38411130071520905,2.505652603199884,0,4.781999999999945,0.7758333333333348,6.253148982299525,2610.0,1012
5,C2,base,base,355,64.7690146257488,0.3841893445278014,2.6429868631763767,0,4.789999999999945,0.7763888888888903,6.811715935379318,2650.0,1012
1,C3,base,base,355,59.14683672034139,0.38063048676233924,2.623509688194688,0,4.467999999999977,0.7540277777777767,6.6619434249334475,1040.0,1012
2,C3,base,base,355,73.37662275356199,0.382327188295711,2.363668012937,0,4.4459999999999775,0.7524999999999992,5.952263843611663,930.0,1012
3,C3,base,base,355,57.1103148088325,0.3813971927845287,2.613546835993624,0,4.461999999999976,0.7536111111111103,6.775137036986126,1010.0,1012
4,C3,base,base,355,75.76924257623338,0.3842488593472438,2.2643814120705157,0,4.441999999999977,0.7522222222222213,5.819121204521713,910.0,1012
5,C3,base,base,355,64.7690146257488,0.3843591867537043,2.4103063720912123,0,4.467999999999976,0.754027777777777,6.38285482426817,1040.0,1012
1,C4,base,base,355,59.14683672034139,0.38043298661811725,2.694676558186392,0,4.74599999999995,0.7733333333333344,7.04576927509412,2430.0,1012
2,C4,base,base,355,73.37662275356199,0.3808602787304869,2.454398554258153,0,4.753999999999948,0.7738888888888903,6.342835528988644,2470.0,1012
3,C4,base,base,355,57.1103148088325,0.38212294693511806,2.7586126731383245,0,4.751999999999948,0.7737500000000013,7.154012037336235,2460.0,1012
4,C4,base,base,355,75.76924257623338,0.38411130071520905,2.4025621187382873,0,4.751999999999948,0.7737500000000013,6.2210656489661895,2460.0,1012
5,C4,base,base,355,64.7690146257488,0.38420255307007634,2.573719743000374,0,4.771999999999947,0.7751388888888902,6.778382602045979,2560.0,1012
1,C1,base,base,362,19.712009681407473,0.2903304413878237,1.2331226371682902,0,4.34599999999999,0.7543055555555536,3.5143995159296266,10.0,1013
2,C1,base,base,366,19.822222222221708,0.26070199013909345,2.513064989773346,0,4.395999999999989,0.7627777777777758,7.012141903749763,20.0,1013
3,C1,base,base,378,19.71867662779161,0.2890600747851446,1.3015059883742295,0,4.537999999999983,0.7876388888888868,3.5140661686104195,10.0,1013
4,C1,base,base,385,19.725944110387772,0.28021943467743743,1.2328781735019692,0,4.621999999999981,0.8022222222222201,3.5137027944806114,10.0,1013
5,C1,base,base,378,19.77562703434962,0.29137053846565936,1.2847058320139755,0,4.537999999999983,0.7876388888888868,3.511218648282519,10.0,1013
1,C2,base,base,374,73.31147800397449,0.34958339492015367,2.612784493747996,0,5.0319999999999325,0.8169444444444461,6.643121738151919,2720.0,1013
2,C2,base,base,374,51.605985216916395,0.3503240964085794,3.0742870699520504,0,5.045999999999932,0.8179166666666685,7.731364125972052,2790.0,1013
3,C2,base,base,374,68.95845389838183,0.35135961341499644,2.6858470181366925,0,5.0399999999999325,0.8175000000000019,6.834427279721603,2760.0,1013
4,C2,base,base,374,63.2222906720705,0.35129950104387053,2.7872647367988006,0,5.019999999999935,0.8161111111111128,7.13568236259278,2660.0,1013
5,C2,base,base,373,71.32062703434998,0.35135184297473215,2.735673725923071,0,5.003999999999935,0.8137500000000016,6.735496426060372,2640.0,1013
1,C3,base,base,374,73.31147800397449,0.3502178177160521,2.4868907846657575,0,4.735999999999965,0.7963888888888879,6.312482849262998,1240.0,1013
2,C3,base,base,374,51.605985216916395,0.350994847147204,2.9541582904552466,0,4.759999999999965,0.7980555555555545,7.397336348194228,1360.0,1013
