design_mode,agv_number,workload,candidate_value,mean_completion_rate,stop_free_fraction,mean_delay,feasible_99,feasible_97,feasible_95
pad,10,45,3,99.82693923588702,1.0,2.517390076524337e-05,True,True,True
pad,10,45,5,99.82693923588702,1.0,2.5173900765245448e-05,True,True,True
pad,10,75,1,99.82478399459018,1.0,0.007459332577326397,True,True,True
pad,10,75,2,99.82478399459018,1.0,0.0006229763524651828,True,True,True
pad,10,75,3,99.82478399459018,1.0,0.0005238443686931837,True,True,True
pad,10,75,5,99.82478399459018,1.0,0.0005208137274480144,True,True,True
pad,10,105,1,99.80902536999574,1.0,0.023204675236902315,True,True,True
pad,10,105,2,99.81061122461264,1.0,0.005471275295026123,True,True,True
pad,10,105,3,99.81061122461264,1.0,0.005238200536022114,True,True,True
pad,10,105,5,99.81061122461264,1.0,0.005228460032354014,True,True,True
power,3,45,1,99.80276773079606,1.0,0.4587332707700672,True,True,True
power,3,45,3,99.80276773079606,1.0,0.45854018670939295,True,True,True
power,3,45,5,99.80276773079606,1.0,0.45852677635778205,True,True,True
power,3,75,1,68.28258669728741,1.0,321.5181661051336,False,False,False
power,3,75,3,84.25721468861292,1.0,121.597929209455,False,False,False
power,3,75,5,88.48794335413503,1.0,87.55132037857591,False,False,False
power,3,105,1,48.64858768045583,1.0,749.1969762890425,False,False,False
power,3,105,3,60.27450473578373,1.0,461.80299420097623,False,False,False
power,3,105,5,63.61577149994319,1.0,408.20935412684616,False,False,False
power,5,45,1,99.83793203045026,1.0,0.025354335580766274,True,True,True
power,5,45,3,99.83793203045026,1.0,0.025290590983499776,True,True,True
power,5,45,5,99.83793203045026,1.0,0.025282300852306046,True,True,True
power,5,75,1,99.80713881108072,1.0,0.19771284202232275,True,True,True
power,5,75,3,99.80713881108072,1.0,0.1970167272391957,True,True,True
power,5,75,5,99.80713881108072,1.0,0.19696435145921698,True,True,True
power,5,105,1,76.4437242082767,1.0,212.36982032561147,False,False,False
power,5,105,3,97.86227731560277,1.0,11.721520412802466,False,True,True
power,5,105,5,99.62489022497195,1.0,1.6567079369276658,True,True,True
power,7,45,1,99.82317856072487,1.0,0.001587057884963777,True,True,True
power,7,45,3,99.82317856072487,1.0,0.0014835141088553059,True,True,True
power,7,45,5,99.82317856072487,1.0,0.001477190190124468,True,True,True
power,7,75,1,99.84045808548018,1.0,0.019696907903512598,True,True,True
power,7,75,3,99.84045808548018,1.0,0.018932173306011872,True,True,True
power,7,75,5,99.84045808548018,1.0,0.018877762548169582,True,True,True
power,7,105,1,95.75438054107308,1.0,10.17828382536028,False,False,True
power,7,105,3,99.82137017954939,1.0,0.10663127793160677,True,True,True
power,7,105,5,99.82137017954939,1.0,0.1064549534937072,True,True,True
power,10,45,1,99.82693923588702,1.0,0.00017361390407453735,True,True,True
power,10,45,3,99.82693923588702,1.0,5.509156751769935e-05,True,True,True
power,10,45,5,99.82693923588702,1.0,3.8910273252222544e-05,True,True,True
power,10,75,1,99.82370057097152,1.0,0.001456759304768863,True,True,True
power,10,75,3,99.82478399459018,1.0,0.0006229763524651828,True,True,True
power,10,75,5,99.82478399459018,1.0,0.0005689363551977519,True,True,True
power,10,105,1,99.81061122461264,1.0,0.006908089219198666,True,True,True
power,10,105,3,99.81061122461264,1.0,0.005471275295026123,True,True,True
power,10,105,5,99.81061122461264,1.0,0.005342004769529733,True,True,True
