one_minus_soc,E_next,T_idle,eta_WPT,D,score,strategy,scenario,scenario_value,replication
0.003755555555555586,0.2816666666666666,0.041382700611082124,1.0,0.0,0.17775073842499567,C4,A_agv,10,1010
0.003755555555555586,0.2816666666666666,0.02678630613727162,1.0,0.0,0.17556127925392406,C4,B_pad,5,1011
0.003755555555555586,0.2816666666666666,0.10869050140506159,0.9166666666666667,0.0,0.17951357521075925,C4,A_agv,7,1033
0.003755555555555586,0.2816666666666666,0.03852152110145754,0.8266216441554113,0.0,0.1599837259140931,C4,D_power,5,1018
0.01557148461742175,0.2816666666666666,0.07058002693745746,0.9350508587627149,0.0,0.1791802019687833,C4,D_power,3,1038
0.007511111111111172,0.2816666666666666,0.009487434976860337,0.9166666666666667,0.0,0.16575978191319574,C4,B_pad,1,1018
0.17363266767952737,0.2816666666666666,0.001888401118765412,0.9350508587627149,0.0,0.21629481301461118,C4,C_workload,105,1017
0.003755555555555586,0.2816666666666666,0.055765504841580577,0.6078872769718193,0.0,0.14069688675675235,C4,D_power,5,1026
0.003755555555555586,0.2816666666666666,0.08337020480916181,1.0,0.0,0.1840488640547076,C4,A_agv,10,1045
0.003755555555555586,0.2816666666666666,0.06075196016043719,0.7474570618642656,0.0,0.15540183354382547,C4,B_pad,2,1029
0.003755555555555586,0.2816666666666666,0.03776842477855098,0.7474570618642656,0.0,0.15195430323654255,C4,C_workload,45,1039
0.38384894898325356,0.2816666666666666,0.08452253735935213,0.9166666666666667,0.0,0.2899163986322122,C4,A_agv,7,1015
0.007511111111111172,0.2816666666666666,0.01381930615502319,1.0,0.0,0.17474289592325348,C4,B_pad,2,1032
0.3150125368509033,0.2816666666666666,0.0036661680058912476,0.9166666666666667,0.0,0.257137019589488,C4,A_agv,7,1020
0.003755555555555586,0.2816666666666666,0.010362403308958568,0.9166666666666667,0.0,0.1647643604963438,C4,B_pad,5,1028
0.015408367160237487,0.2816666666666666,0.020820993149649844,1.0,0.0,0.17816232578718538,C4,D_power,5,1010
0.003755555555555586,0.2816666666666666,0.026152182067384677,0.9166666666666667,0.0,0.1671328273101077,C4,D_power,5,1041
0.006689504447365528,0.2816666666666666,0.028046521990735426,1.0,0.0,0.17663049629948663,C4,B_pad,2,1054
0.033322667220666645,0.2816666666666666,0.02431914265769693,0.7474570618642656,0.0,0.15880704441794774,C4,base,base,1031
0.003755555555555586,0.2816666666666666,0.07953391950508173,1.0,0.0,0.1834734212590956,C4,C_workload,75,1010
0.007511111111111172,0.2816666666666666,0.007869358654574575,0.9166666666666667,0.0,0.16551707046485287,C4,C_workload,75,1046
0.003755555555555586,0.2816666666666666,0.03546944489779384,0.9166666666666667,0.0,0.16853041673466906,C4,D_power,5,1026
0.003755555555555586,0.2816666666666666,0.08700072552341226,0.4645656161414041,0.0,0.13105000377598558,C4,A_agv,7,1016
0.43955278622161115,0.2816666666666666,0.016043802056451062,0.8266216441554113,0.0,0.28735123725715883,C4,D_power,1,1011
0.16077432063597152,0.2816666666666666,0.00946251753313359,1.0,0.0,0.22006834048742813,C4,C_workload,105,1032
0.003755555555555586,0.2816666666666666,0.02115912563674,0.9166666666666667,0.0,0.166383868845511,C4,D_power,5,1029
0.003755555555555586,0.2816666666666666,0.10251691002495338,0.9166666666666667,0.0,0.178587536503743,C4,A_agv,10,1034
0.007511111111111172,0.2816666666666666,0.006783232406119674,0.9166666666666667,0.0,0.16535415152758465,C4,base,base,1026
0.23822409813546339,0.2816666666666666,0.019154315837171858,0.6078872769718193,0.0,0.2055457711800634,C4,D_power,1,1030
0.003755555555555586,0.2816666666666666,0.0774105766102942,0.12370768717692188,0.0,0.09552568854256965,C4,C_workload,45,1016
0.13223055465136202,0.2816666666666666,0.042610905137860554,0.9166666666666667,0.0,0.208144135499421,C4,B_pad,1,1015
0.003755555555555586,0.2816666666666666,0.02812172134150185,0.9166666666666667,0.0,0.16742825820122528,C4,B_pad,3,1054
0.003755555555555586,0.2816666666666666,0.016420613421665217,0.8266216441554113,0.0,0.15666858976212425,C4,B_pad,5,1010
0.003755555555555586,0.2816666666666666,0.05059976519721102,1.0,0.0,0.179133298112915,C4,C_workload,45,1010
0.30805300193464946,0.2816666666666666,0.17896668545405936,0.9350508587627149,0.0,0.2831826559414419,C4,A_agv,10,1007
0.003755555555555586,0.2816666666666666,0.01675313170989183,0.9166666666666667,0.0,0.16572296975648376,C4,D_power,5,1012
0.07281759041505727,0.2816666666666666,0.05960383133460305,1.0,0.0,0.2012025184913743,C4,B_pad,1,1043
0.003755555555555586,0.2816666666666666,0.08986828401945583,0.4645656161414041,0.0,0.13148013755039212,C4,A_agv,10,1016
0.003755555555555586,0.2816666666666666,0.13148535424501764,0.9166666666666667,0.0,0.18293280313675264,C4,C_workload,45,1040
0.009874770617832892,0.2816666666666666,0.003442472576821779,1.0,0.0,0.17389546873853978,C4,A_agv,5,1026
0.29375114520922807,0.2816666666666666,0.017486608348359974,0.7474570618642656,0.0,0.23591070766811564,C4,D_power,1,1040
0.003755555555555586,0.2816666666666666,0.01027752026242322,0.9350508587627149,0.0,0.1665900472489683,C4,B_pad,2,1016
0.003755555555555586,0.2816666666666666,0.0684249749093437,0.8266216441554113,0.0,0.16446924398527601,C4,C_workload,45,1038
0.003755555555555586,0.2816666666666666,0.07830635223786986,0.6078872769718193,0.0,0.14407801386619573,C4,A_agv,7,1021
0.003755555555555586,0.2816666666666666,0.0686859096839281,0.9166666666666667,0.0,0.17351288645258922,C4,A_agv,7,1043
0.003755555555555586,0.2816666666666666,0.06932710597280675,0.7474570618642656,0.0,0.1566881054156809,C4,A_agv,10,1026
0.31466633397393967,0.2816666666666666,0.04240035962688833,0.9166666666666667,0.0,0.26284328746954844,C4,B_pad,1,1049
0.256085374666626,0.2816666666666666,0.058568169987591116,0.9350508587627149,0.0,0.2495325904410646,C4,D_power,1,1027
0.003755555555555586,0.2816666666666666,0.02182305792163081,0.9350508587627149,0.0,0.16832187789784944,C4,D_power,5,1033
0.003755555555555586,0.2816666666666666,0.06788824286340969,0.6078872769718193,0.0,0.14251529746002672,C4,D_power,5,1020
0.003755555555555586,0.2816666666666666,0.002806140726279409,0.9166666666666667,0.0,0.16363092110894192,C4,D_power,5,1036
0.003755555555555586,0.2816666666666666,0.002631915523266394,0.12370768717692188,0.0,0.08430888937951549,C4,B_pad,2,1015
0.011266666666666758,0.2816666666666666,0.051585985004706646,1.0,0.0,0.18153456441737267,C4,B_pad,2,1018
0.003755555555555586,0.2816666666666666,0.033178518048068026,0.8266216441554113,0.0,0.15918227545608468,C4,B_pad,2,1056
0.003755555555555586,0.2816666666666666,0.025056530496121922,0.7474570618642656,0.0,0.15004751909417818,C4,D_power,3,1036
0.003755555555555586,0.2816666666666666,0.03401335712214051,0.9166666666666667,0.0,0.1683120035683211,C4,B_pad,2,1048
0.003755555555555586,0.2816666666666666,0.012950455638921186,0.9166666666666667,0.0,0.1651525683458382,C4,B_pad,3,1043
0.09687340116252068,0.2816666666666666,0.09787946424587175,0.9166666666666667,0.0,0.20582727331897027,C4,D_power,5,1054
0.003755555555555586,0.2816666666666666,0.07971536539408286,0.9166666666666667,0.0,0.17516730480911244,C4,C_workload,45,1021
0.003755555555555586,0.2816666666666666,0.026570718432602815,1.0,0.0,0.17552894109822376,C4,C_workload,75,1024
0.003755555555555586,0.2816666666666666,0.029472580852256618,0.9350508587627149,0.0,0.1694693063374433,C4,A_agv,5,1045
0.003755555555555586,0.2816666666666666,0.03794294173743967,0.9166666666666667,0.0,0.16890144126061596,C4,B_pad,3,1022
0.008081481481481578,0.2816666666666666,0.12745976204193438,0.9350508587627149,0.0,0.18546516129367277,C4,C_workload,75,1024
0.003755555555555586,0.2816666666666666,0.05574135594571594,0.9350508587627149,0.0,0.1734096226014622,C4,D_power,5,1016
0.003755555555555586,0.2816666666666666,0.017550608128718625,0.7474570618642656,0.0,0.1489216307390677,C4,B_pad,5,1015
0.007511111111111172,0.2816666666666666,0.05774451540587405,0.9166666666666667,0.0,0.1729983439775478,C4,D_power,5,1019
0.003755555555555586,0.2816666666666666,0.03616157011312882,1.0,0.0,0.17696756885030268,C4,A_agv,7,1018
