pad_id,location,strategy,scenario,scenario_value,utilization,sessions,wait_min,input_kwh,delivered_kwh,replication
2,picking,C4,base,base,25.944388317573182,582,61.48077168073137,18.679959588652675,16.150679077484877,1014
1,staging,C1,base,base,16.160893772164346,3,1.7850516166226347,11.63584351595833,10.514703689955866,1015
2,picking,C1,base,base,18.694090487074565,3,0.0,13.459745150693688,10.533245300370606,1015
1,staging,C2,base,base,29.63506615138157,644,89.42815200905684,21.337247628994653,18.01432003928023,1015
2,picking,C2,base,base,29.16385085195031,638,78.0300265407173,20.997972613404173,17.529389292570407,1015
1,staging,C3,base,base,27.95283668885237,276,86.53559471074271,20.126042415973707,17.109181384212157,1015
2,picking,C3,base,base,27.569724376628308,277,83.42705740069825,19.850201551172376,16.58165649500337,1015
1,staging,C4,base,base,28.750110720402887,615,82.85116760977306,20.700079718690024,17.780621234354175,1015
2,picking,C4,base,base,28.4707120474968,619,77.58774444435713,20.498912674197648,17.65400476416313,1015
1,staging,C1,base,base,16.175263297326953,3,33.91573139808388,11.646189574075407,10.524009050041693,1016
2,picking,C1,base,base,11.180066870887321,2,52.62739264675402,8.049648147038871,7.020717526975915,1016
1,staging,C2,base,base,28.8789836771093,656,80.49834815665878,20.792868247518633,17.49961708752348,1016
2,picking,C2,base,base,29.31734031899362,662,77.33736162335984,21.108485029675375,17.817353363256107,1016
1,staging,C3,base,base,26.835990843495054,278,80.2657265507105,19.321913407316433,16.542432042462444,1016
2,picking,C3,base,base,27.434697040749338,277,75.85209788209367,19.75298186933952,16.72728495430208,1016
1,staging,C4,base,base,28.287587069655977,627,75.42914143079682,20.367062690152274,17.616507989218753,1016
2,picking,C4,base,base,27.979610086278317,632,74.39227578724267,20.145319262120342,17.561434683783062,1016
1,staging,C1,base,base,16.58263290011042,3,38.43769616431552,11.9394956880795,10.521875587386194,1017
2,picking,C1,base,base,15.61659810073751,3,0.0,11.24395063253101,10.531539769427118,1017
1,staging,C2,base,base,26.8451486552437,612,56.150647845186725,19.328507031775473,16.39844561297718,1017
2,picking,C2,base,base,27.030635880066022,607,55.68405794086058,19.46205783364755,16.507891424112035,1017
1,staging,C3,base,base,24.432375737405184,246,57.458511883168434,17.591310530931732,15.25377729644485,1017
2,picking,C3,base,base,25.65911220433111,245,48.97734245547333,18.474560787118396,15.821224842736703,1017
1,staging,C4,base,base,26.36539177596562,590,56.5938488157062,18.98308207869526,16.505118831919685,1017
2,picking,C4,base,base,25.971837713375212,584,43.61443177510684,18.699723153630163,16.28999598294731,1017
1,staging,C1,base,base,17.569405452108832,3,123.74865448822116,12.649971925518361,10.519494047711483,1018
2,picking,C1,base,base,11.522042490335627,2,6.036928299389426,8.295870593041652,7.018082421156947,1018
1,staging,C2,base,base,27.625947202458168,627,66.81341684735247,19.890681985769874,16.865941447988337,1018
2,picking,C2,base,base,27.165779792191408,624,61.92930134443419,19.5593614503778,16.713443222737503,1018
1,staging,C3,base,base,24.45651701655799,254,65.60281501098359,17.608692251921752,15.253525677302358,1018
2,picking,C3,base,base,26.29126517561154,253,71.27769673202229,18.92971092644033,16.287778433526793,1018
1,staging,C4,base,base,26.728368831712757,605,59.96845229420361,19.244425558833175,16.850668507026302,1018
2,picking,C4,base,base,26.49003079180718,597,61.323915704290776,19.072822170101173,16.61107727481066,1018
1,staging,C1,base,base,12.927550630665493,2,13.680269754234299,9.307836454079155,7.020477910158262,1019
2,picking,C1,base,base,17.64713575437326,3,35.022750063587345,12.705937743148748,10.526398666283503,1019
1,staging,C2,base,base,28.353924571406157,645,70.08802273971985,20.41482569141242,17.366959036029012,1019
2,picking,C2,base,base,28.19845996239846,652,75.67674919812504,20.302891172926888,17.219028651523956,1019
1,staging,C3,base,base,26.585126521642483,254,67.72411429217307,19.141291095582584,16.619774901714866,1019
2,picking,C3,base,base,25.581102259735307,253,68.11627229725909,18.41839362700941,15.932527099008956,1019
1,staging,C4,base,base,27.866349110523842,619,69.74592289497404,20.063771359577167,17.475015611157474,1019
2,picking,C4,base,base,26.947003266583497,621,70.10423795063629,19.401842351940104,16.97836096528438,1019
1,staging,C1,base,base,21.582538420271568,4,15.730380013882495,15.53942766259553,14.027969590073454,1020
2,picking,C1,base,base,16.589200536018502,3,0.0,11.944224385933321,10.525711118885136,1020
1,staging,C2,base,base,29.523084123857863,629,82.31954332733646,21.256620569177596,17.77174241684564,1020
2,picking,C2,base,base,30.449085655846403,624,89.10099522130874,21.923341672209375,18.376160514335204,1020
1,staging,C3,base,base,28.634210451435386,272,90.61537691981691,20.61663152503349,17.269285536377456,1020
2,picking,C3,base,base,28.153218314276945,271,74.62368567799949,20.270317186279417,17.071119221825743,1020
1,staging,C4,base,base,29.29872554159001,603,83.80321229082183,21.095082389944775,18.15369235943142,1020
2,picking,C4,base,base,28.91171889071793,602,76.76753127100473,20.816437601316867,17.85557755023559,1020
1,staging,C1,base,base,16.617815170064077,3,47.16603252351548,11.964826922446136,10.5438826766884,1021
2,picking,C1,base,base,10.481874698601178,2,7.256380702550692,7.546949782992849,7.019516630642938,1021
1,staging,C2,base,base,29.10560305942938,646,75.4412846958168,20.956034202789073,17.663005102921993,1021
2,picking,C2,base,base,28.895877890519028,645,80.78480252841764,20.80503208117364,17.507116426631647,1021
1,staging,C3,base,base,27.28136436449547,250,73.99838953865806,19.64258234243673,16.313115791743982,1021
2,picking,C3,base,base,26.810489197433096,250,77.15458303730978,19.303552222151808,16.86536621418403,1021
1,staging,C4,base,base,27.97159904024125,617,78.09459669155143,20.139551308973683,17.452346305647023,1021
2,picking,C4,base,base,28.23101434922684,621,65.0274179656304,20.32633033144324,17.600136335017737,1021
1,staging,C1,base,base,16.467154142813374,3,0.0,11.856350982825633,10.531446571443274,1022
2,picking,C1,base,base,16.87763311351491,3,35.34758342837971,12.151895841730736,10.533070865437564,1022
1,staging,C2,base,base,27.87264610080924,665,58.5200572375102,20.068305192582635,17.116885464054704,1022
2,picking,C2,base,base,27.65539231564043,664,63.45614985634516,19.91188246726106,16.638095710308274,1022
1,staging,C3,base,base,25.856538384823907,267,55.64226859603824,18.616707637073212,16.036451864571095,1022
2,picking,C3,base,base,25.414079711390787,265,56.55527777966757,18.29813739220137,15.616181998726786,1022
1,staging,C4,base,base,26.717587192268304,647,59.54399298168346,19.23666277843314,16.613109425493,1022
2,picking,C4,base,base,27.140796016904982,637,56.53896335992022,19.541373132171582,17.038159145372003,1022
