scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total
base_case,C5,4024,1842,1838,76.58333333333333,99.7828447339848,0.22535561017631883,2.8043796183706036,0.0,0,0.0,100,0.35887368610099746,7.105427357601002e-17,0,22310.0,26.565999999999537,4.1473611111111275,46.60547300364089,37.29577830936313,9.309694694277763,80.0244604457711,50.461905037975185,37.29577830936313,0.0,32.36491180808397,1.5,3,3.552713678800501e-16,814,44.22604422604422,473,2231,nan,nan,31.881304401205853,2399,0,0,0,0.013289414089706483,0.009812125004827976,0.032593132997862984,0.2617021250189282,45.7002917882451,147.93205502292622,27.617757398916215,0.0,21.578574406002502,0,0,0,0.0,0.0,0.0
base_case,C1,4025,1831,1830,76.25,99.94538503549973,0.9372175300560203,53.52275538411705,0.29801236596942965,0,3.4953577280174786,100,0.4219453653312565,0.0,0,100.0,21.99199999999994,3.8159722222222126,24.99966848074768,20.122734760392348,4.876933720355336,80.49200642756094,29.678888888888554,0.0,20.122734760392348,17.360880889408115,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C2,4025,1831,1830,76.25,99.94538503549973,0.19529626735864528,2.6896454883338263,0.0,0,0.0,100,0.3679810334691031,0.0,0,25190.0,27.009999999999472,4.164444444444467,44.42682795112288,35.55171600834492,8.875111942778029,80.02307985494237,60.245778109256264,35.55171600834492,0.0,30.851963854946455,1.5,3,0.0,235,14.468085106382977,490,2519,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C3,4025,1831,1830,76.25,99.94538503549973,0.19548920256386132,2.6896454883338263,0.0,0,0.0,100,0.36824568678017594,0.0,0,24850.0,26.94199999999948,4.159722222222244,44.331552759136656,35.4656956074361,8.865857151700586,80.00102274812986,60.977416338133416,35.4656956074361,0.0,30.78580052717822,1.5,3,0.0,253,27.66798418972332,480,2485,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C4,4025,1831,1830,76.25,99.94538503549973,0.19551495335404712,2.6896454883338263,0.0,0,0.0,100,0.3680638257209285,0.0,0,25080.0,26.987999999999474,4.162916666666688,44.39702274046574,35.52383105434681,8.87319168611895,80.0139938707389,60.977416338133416,35.52383105434681,0.0,30.83126579199009,1.5,3,0.0,240,26.666666666666668,484,2508,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C5,4025,1831,1830,76.25,99.94538503549973,0.1950370057865533,2.6896454883338263,0.0,0,0.0,100,0.3711004492555098,0.0,0,21410.0,26.25399999999956,4.111944444444459,43.30383826801646,34.64592807837084,8.657910189645634,80.00659863899358,60.62380573079786,34.64592807837084,0.0,30.07210990834477,1.5,3,0.0,802,47.75561097256858,454,2141,nan,nan,35.78090769419214,2421,0,0,0,0.014779391860467632,0.010302499984391034,0.03855220798868686,0.18357308401027694,45.885997521685255,147.75258157786038,27.52168525402726,0.0,21.571251548946716,0,0,0,0.0,0.0,0.0
base_case,C1,4027,1795,1793,74.70833333333333,99.88857938718662,0.9762149194998252,53.99725277655573,0.2662338241185399,0,2.2841225626740957,100,0.43152868964751956,0.0,0,100.0,21.55999999999996,3.740972222222213,25.149671726892965,20.146365716348065,5.0033060105449,80.10587945291238,29.678888888888554,0.0,20.146365716348065,17.465049810342336,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C2,4027,1795,1793,74.70833333333333,99.88857938718662,0.1762757207582436,3.106292603710608,0.0,0,0.0,100,0.3736898983564791,0.0,0,25670.0,26.67399999999948,4.096111111111134,45.97163659166749,36.7835168884003,9.18811970326728,80.01350314134223,53.354173453397195,36.7835168884003,0.0,31.92474763310247,1.5,3,0.0,259,13.127413127413126,458,2567,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C3,4027,1795,1793,74.70833333333333,99.88857938718662,0.17635164333233005,3.106292603710608,0.0,0,0.0,100,0.3739018990932107,0.0,0,25480.0,26.635999999999484,4.093472222222245,45.89531632644415,36.742875377638725,9.152440948805484,80.05800660854813,56.5073153295971,36.742875377638725,0.0,31.871747448919557,1.5,3,0.0,268,39.92537313432835,457,2548,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
base_case,C4,4027,1795,1793,74.70833333333333,99.88857938718662,0.17630646052899665,3.106292603710608,0.0,0,0.0,100,0.37387768478086636,0.0,0,25520.0,26.64399999999948,4.0940277777778,45.90403347888807,36.75143355506694,9.15259992382119,80.06144726251443,56.5073153295971,36.75143355506694,0.0,31.877801027005617,1.5,3,0.0,264,32.57575757575758,456,2552,nan,nan,0.0,0,0,0,0,,,,,,,,,,,,,,,
