scenario,strategy,reps,mean_delay_mean,mean_delay_std,completion_rate_mean,completion_rate_std,urgent_on_time_rate_mean,urgent_on_time_rate_std,battery_delivered_energy_mean,battery_delivered_energy_std,wpt_loss_mean,wpt_loss_std,fleet_min_soc_mean,fleet_min_soc_std,critical_soc_event_count_mean,critical_soc_event_count_std,low_soc_stops_mean,low_soc_stops_std,charging_wait_mean,charging_wait_std,solver_mean_time_s_mean,solver_mean_time_s_std,solver_max_time_s_mean,solver_max_time_s_std,solver_calls_mean,solver_calls_std,infeasible_count_mean,infeasible_count_std,simulation_failure_count_mean,simulation_failure_count_std
stress_w75_p1_kw5,C4,50,0.19720917278237424,0.03722732761121065,99.79137526449983,0.1035450132296415,96.63315600055648,1.6762863264132397,35.246214919973646,0.9945929170518598,8.804928240093831,0.24641973813801737,55.07297162624258,4.614351641270031,0.0,0.0,0.0,0.0,7.105427357601002e-19,3.714192703678072e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw1,C1,50,29.463179852371642,17.866819580327597,98.92364371381744,1.6362145681994118,38.13981493357648,7.900087923573722,22.182742069879904,1.5687609123058621,5.5756155629481565,0.4299192976127243,29.67262211558756,0.04602034160133212,0.0,0.0,0.0,0.0,50.34857609090522,21.051299861528015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw1,C2,50,33.828906820387125,15.05604289130356,91.29473175979123,3.4920090699531245,63.37734782920165,10.555105076200116,29.3290308822378,2.07688177897338,7.321719357415117,0.5617768551351837,19.684537205680805,0.06689926785362277,6.1,1.4463183379511848,0.0,0.0,80.2981633852207,31.303950243293663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw1,C3,50,42.30593365946848,27.840216647917373,87.74225769646117,6.706676631171345,83.53511936587785,9.019947510831766,32.67873500222776,3.7894503180693384,8.180697427992266,0.9636073808367761,19.90722600062986,0.9789156990396405,5.94,2.122859065563444,0.0,0.0,192.56762778222495,49.236147266571706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw1,C4,50,43.59072592970909,24.437886774529588,86.850806528831,5.599164679261233,79.5005215422775,9.829888463943853,31.87495964949148,3.22535979016716,7.979939839608389,0.8402192112271958,19.811140551493338,0.6601239906182061,5.64,1.7468338705866027,0.0,0.0,166.65821227793163,40.17083454207327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw3,C1,50,1.1247083628177936,0.49995769512714267,99.76627111741779,0.13871595986562352,85.59876820750559,3.8741696990829384,20.494548736546566,0.8144311267111051,5.124982662603523,0.238787221845209,29.667243366307854,0.044810898977094164,0.0,0.0,0.0,0.0,2.6705725973858456,4.044855595805369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw3,C2,50,0.20028795477116687,0.037473018045990694,99.79137526449983,0.1035450132296415,96.59308928555767,1.682755836045125,36.806224128536996,1.069541530210308,9.198673513960019,0.2655296541368875,53.46433570090864,5.216177889235041,0.0,0.0,0.0,0.0,6.039613253960851e-18,1.7763165587431086e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw3,C3,50,0.20032958701577538,0.03747565457525303,99.79137526449983,0.1035450132296415,96.59308928555767,1.682755836045125,36.721295912229884,1.059298649542646,9.171407225145234,0.26663591002466813,55.332370612671184,4.606865965736477,0.0,0.0,0.0,0.0,9.947598300641404e-18,3.583675081394465e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw3,C4,50,0.20029929753475426,0.03748455576048784,99.79137526449983,0.1035450132296415,96.58722418291836,1.6826227830714033,36.766618343934226,1.0559551769517914,9.188941989916374,0.2615954136201765,55.12570290513255,4.499104589568297,0.0,0.0,0.0,0.0,7.223851146894351e-18,1.955767707626714e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw5,C1,50,0.5574795066695984,0.12217958747074066,99.775152087729,0.12998059412526505,91.34082871885067,2.4446493714771376,20.57464651432435,1.1183118766444295,5.162153204693769,0.2733710317604969,29.675271557635497,0.04646897970932598,0.0,0.0,0.0,0.0,0.6052160548597074,1.2984640017703009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw5,C2,50,0.19801697546188446,0.037330872434063245,99.79137526449983,0.1035450132296415,96.61076799495025,1.6788316396273502,35.904623173617445,1.0455958438729454,8.973531347111642,0.2610655847194484,54.50859816794623,4.843105248178367,0.0,0.0,0.0,0.0,2.979542538620687e-16,1.7210538310532213e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw5,C3,50,0.1980651722870799,0.037338679206957145,99.79137526449983,0.1035450132296415,96.61076799495025,1.6788316396273502,35.87157412413515,1.037905152584778,8.965525540336213,0.2606151395815469,55.424169713413704,4.613543261057715,0.0,0.0,0.0,0.0,6.927791673660978e-17,2.988791537644927e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w75_p2_kw5,C4,50,0.19805727297424613,0.03734880103230858,99.79137526449983,0.1035450132296415,96.61076799495025,1.6788316396273502,35.88756848464062,1.040746973700789,8.96619331047802,0.25908470137479805,55.26924431623865,4.483227254399006,0.0,0.0,0.0,0.0,3.126388037344441e-16,1.7307907154501433e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w90_p1_kw1,C1,50,314.16746103416557,43.774981256945075,67.31579322329407,2.498715179842652,21.366110642064537,4.242238162589866,29.058618180991033,1.3004133807062197,7.277669952583605,0.38654515722711275,29.646787920331462,0.03740881695252631,0.0,0.0,0.0,0.0,681.0666438590104,48.92757365327226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w90_p1_kw1,C2,50,323.8454898914715,43.41179199953286,64.22841824988755,2.537347158112574,33.336158250057565,5.7383459005171416,33.354399847657746,1.4562561041446016,8.354915918480687,0.3793616973521714,19.668596989131352,0.055284914172400536,9.02,0.6543418566056449,0.0,0.0,755.3801109879965,54.618581818000955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w90_p1_kw1,C3,50,367.4423480241367,36.25016061175427,60.29145302729609,1.4607632293651018,38.83215275429718,5.983759718392311,33.54640262543553,1.4912312186651646,8.391165670542227,0.43060336429589857,19.66262982499016,0.05070761932022501,9.26,1.174734012447073,0.0,0.0,821.8346851064505,41.08585977265279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w90_p1_kw1,C4,50,355.52312705484184,35.57416794474515,61.391274980069575,1.338598448980097,37.488939320673765,6.131298553264252,33.73739706987998,1.375930609013158,8.459152311874668,0.39888043013334196,19.67558198550514,0.049582040288891994,9.0,0.8571428571428572,0.0,0.0,810.2396405739212,40.334548416205116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w90_p1_kw3,C1,50,6.2470678232556125,4.807713114263771,99.55159225971863,0.2871796787972882,55.200915369468994,9.403008848758063,28.08900429210214,1.840236161875766,7.0099978158916585,0.5052021626017719,29.660836314016038,0.04054179641917947,0.0,0.0,0.0,0.0,31.25946677819163,16.350223419620807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_w90_p1_kw3,C2,50,4.7831190272707165,5.373081735621198,98.54145384102077,1.6154196699430812,72.36510106903131,10.929297146135964,32.20921691811585,2.871443254555175,8.054843610628168,0.7339797830162464,20.03642258364807,1.47507467496509,5.1,2.358224859888454,0.0,0.0,30.72013235470393,23.957320371696504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
