replication,charging_contention_events,different_decision_rate_C4_vs_C3,one_minus_soc_std,E_next_std,T_idle_std,eta_WPT_std,D_std
4023,710,46.478873239436616,0.14431744420571133,0.3638778961545701,0.06675153593235014,0.017133813511818065,0.04298692295574444
4024,512,48.046875,0.17095050235832634,0.35004343577861186,0.05729671715791824,0.01779633341483529,0.03695921626074925
4025,646,46.59442724458204,0.19527397460368234,0.3599069766021401,0.0723118309375735,0.01731429827533998,0.03620939835111824
4026,635,48.188976377952756,0.1453670650183779,0.3635374961941256,0.05598882629963182,0.01829017212766047,0.040645239380107764
4027,662,48.18731117824773,0.16603999806163744,0.35560481038218905,0.06330623820928215,0.017627094548791827,0.03616377168278179
4028,645,47.286821705426355,0.12248706940345475,0.35088928796868,0.057372308704571315,0.017085389921043154,0.038039437393680035
4029,734,47.956403269754766,0.15212006156050278,0.3499281278696333,0.057329035185156724,0.01783740493806498,0.03667721895384829
4030,455,48.57142857142857,0.15751056366129715,0.36003540747393886,0.054988599976357966,0.017990330693035905,0.042028687642105295
4031,646,50.92879256965944,0.18242051795925573,0.35740154138987223,0.0713700326169598,0.017990623776135126,0.043655512820903394
4032,706,49.858356940509914,0.1409916424239909,0.34671771931666195,0.06304826643064039,0.01771744866790936,0.036106530582982355
4033,707,50.919377652050926,0.18999520264970812,0.3492749974715782,0.06507207378708092,0.017416329381095736,0.042117792331692244
4034,581,44.75043029259897,0.15403983072880847,0.35185585234825156,0.06817545779861726,0.017374154226245293,0.040715653226763536
4035,727,47.59284731774415,0.1472403577747033,0.34745114784707887,0.06703903092558969,0.017856292221741604,0.040697931536554294
4036,437,48.51258581235698,0.13599765714008255,0.33722173910686704,0.06750641108537749,0.018401485799030767,0.03365656255508781
4037,606,51.650165016501646,0.15318638708451424,0.3551648135156034,0.058840971838304744,0.018305860543086097,0.0381728661063905
4038,621,47.34299516908212,0.135063157307428,0.35415242208415587,0.056825682889712736,0.017833486785878275,0.03330501854517934
4039,632,50.31645569620253,0.16429020456856575,0.3575560579569977,0.05803020634665838,0.017522595176106548,0.03681362596148718
4040,552,48.369565217391305,0.15456699449864758,0.35071535292998973,0.06470313578994451,0.01711370603819169,0.04609595959949629
