scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,critical_soc_event_count,simulation_failure_count,infeasible_count
stress_w75_p2_kw5,C4,4029,1775,1772,73.83333333333333,99.83098591549296,0.1734403214654643,2.4937115519616784,0.00233769742271136,3.2258064516129004,0.0,96.7741935483871,0.4345620077406046,0.0,0,20740.0,25.40399999999967,3.9829166666666884,43.42946202230385,34.758269548532596,8.67119247377131,80.03384783049341,63.80806567419398,34.758269548532596,0.0,18.095609175959915,1.5,3,0.0,74,44.5945945945946,381,2074,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C1,4028,1777,1775,73.95833333333333,99.88745075970738,0.4803918464671409,35.44480833943005,0.15839371927038667,7.079646017699115,0.9735744089012566,92.92035398230088,0.4647178769142412,0.45621192613405587,0,100.0,21.28199999999993,3.6991666666666645,25.002607184788577,20.098343209652874,4.9042639751357004,80.3849896977167,29.63611111111102,0.0,20.098343209652874,10.417752993661907,0,0,2.281059630670279,0,0,0,10,0.3,0.7,0.0,0,0,0,0
stress_w75_p2_kw5,C2,4028,1777,1775,73.95833333333333,99.88745075970738,0.16046224332434456,2.5638857452146717,0.001667924507129255,2.359882005899705,0.0,97.6401179941003,0.43170739474057784,2.3684757858670008e-17,0,21210.0,25.503999999999653,3.9923611111111343,44.80889648898662,35.86564876520874,8.94324772377794,80.04135690782745,54.66946557279716,35.86564876520874,0.0,18.670373537077737,1.5,3,1.1842378929335003e-16,102,37.254901960784316,401,2121,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C3,4028,1777,1775,73.95833333333333,99.88745075970738,0.1604252623864862,2.5638857452146717,0.001667924507129255,2.359882005899705,0.0,97.6401179941003,0.43169034033435916,0.0,0,21100.0,25.48199999999966,3.9908333333333568,44.819129132717855,35.842120987430974,8.977008145286943,79.97058774010473,58.16839245392104,35.842120987430974,0.0,18.674637138632413,1.5,3,0.0,113,46.902654867256636,401,2110,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C4,4028,1777,1775,73.95833333333333,99.88745075970738,0.16046224332434456,2.5638857452146717,0.001667924507129255,2.359882005899705,0.0,97.6401179941003,0.4317365234117231,0.0,0,21110.0,25.483999999999654,3.9909722222222452,44.79141928629945,35.84425987631985,8.947159409979635,80.02483611249107,56.97418709952817,35.84425987631985,0.0,18.663091369291408,1.5,3,0.0,112,42.857142857142854,401,2111,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C1,4030,1844,1842,76.75,99.89154013015184,0.5811443146477078,31.953756816194314,0.16404514014634047,10.540540540540544,0.8141112618724522,89.45945945945945,0.4459581562308451,0.0,0,100.0,22.241999999999923,3.84958333333333,25.091772928159596,20.07148071578596,5.020292212373635,79.9922778404409,29.72888888888879,0.0,20.07148071578596,10.454905386733163,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0
stress_w75_p2_kw5,C2,4030,1844,1842,76.75,99.89154013015184,0.21228827088583518,3.408410264862323,0.0035115939343330514,3.513513513513511,0.0,96.48648648648648,0.4096314783300139,0.0,0,21510.0,26.523999999999628,4.146944444444468,46.88777966865832,37.51735605128602,9.370423617372353,80.01521146108809,53.905485280677745,37.51735605128602,0.0,19.53657486194093,1.5,3,0.0,76,35.526315789473685,387,2151,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C3,4030,1844,1842,76.75,99.89154013015184,0.21236882704005752,3.408410264862323,0.0035115939343330514,3.513513513513511,0.0,96.48648648648648,0.40968807420528963,0.0,0,21320.0,26.485999999999628,4.1443055555555794,46.853822143492934,37.47741493554649,9.376407207946482,79.98795662981225,53.905485280677745,37.47741493554649,0.0,19.522425893121998,1.5,3,0.0,94,55.319148936170215,389,2132,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C4,4030,1844,1842,76.75,99.89154013015184,0.2122706633595293,3.408410264862323,0.0035115939343330514,3.513513513513511,0.0,96.48648648648648,0.40964100279553567,0.0,0,21440.0,26.50999999999963,4.145972222222246,46.88206498934526,37.5023838290638,9.379681160281516,79.99302897085879,53.905485280677745,37.5023838290638,0.0,19.534193745560493,1.5,3,0.0,99,49.494949494949495,384,2144,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C1,4031,1772,1770,73.75,99.88713318284425,0.5193630539893901,33.15394883746218,0.15741458099661837,8.888888888888891,0.6373937677053854,91.11111111111111,0.465813610078374,0.0,0,100.0,21.31799999999993,3.695416666666664,25.17850061964225,20.09377973204026,5.084720887601993,79.80530705773918,29.678888888888764,0.0,20.09377973204026,10.491041924850938,0,0,0.0,0,0,0,10,0.3,0.7,0.0,0,0,0,0
stress_w75_p2_kw5,C2,4031,1772,1770,73.75,99.88713318284425,0.1853816709041626,2.7152674169909004,0.002340547072442085,3.3333333333333326,0.0,96.66666666666667,0.4355998505074935,1.4210854715202004e-16,0,21250.0,25.54799999999965,3.9891666666666907,43.30675636217053,34.65717967129011,8.64957669088048,80.02718878656071,50.2676871469668,34.65717967129011,0.0,18.044481817571047,1.5,3,7.105427357601002e-16,80,26.25,412,2125,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C3,4031,1772,1770,73.75,99.88713318284425,0.18530916670366543,2.7152674169909004,0.002340547072442085,3.3333333333333326,0.0,96.66666666666667,0.4356582463418456,4.7369515717340015e-17,0,21110.0,25.519999999999655,3.987222222222246,43.27171886155931,34.62818314133659,8.643535720222788,80.02497717302084,51.26602048030012,34.62818314133659,0.0,18.029882858983022,1.5,3,2.3684757858670006e-16,87,31.03448275862069,407,2111,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C4,4031,1772,1770,73.75,99.88713318284425,0.18525063409067985,2.7152674169909004,0.002340547072442085,3.3333333333333326,0.0,96.66666666666667,0.4356673115190164,0.0,0,21160.0,25.529999999999653,3.9879166666666914,43.26627975525683,34.6379296712901,8.62835008396678,80.05756415209609,51.26602048030012,34.6379296712901,0.0,18.027616564690334,1.5,3,0.0,87,41.37931034482759,412,2116,nan,nan,0.0,0,0,0,0
stress_w75_p2_kw5,C1,4032,1747,1744,72.66666666666667,99.8282770463652,0.5160301361344712,38.25662740729616,0.170334271169662,7.878787878787874,0.7057163020465773,92.12121212121212,0.47284088051882345,0.5576192330415264,0,100.0,20.73999999999993,3.6240277777777754,25.12880502203931,20.05981881492222,5.068986207117083,79.82798544271678,29.732222222222127,0.0,20.05981881492222,10.470335425849711,0,0,2.788096165207632,0,0,0,10,0.3,0.7,0.0,0,0,0,0
stress_w75_p2_kw5,C2,4032,1747,1744,72.66666666666667,99.8282770463652,0.19236409865904533,3.0408845995108096,0.0021558897580256117,3.3333333333333326,0.0,96.66666666666667,0.4393940798403328,0.0,0,21390.0,24.99799999999966,3.919722222222244,45.1968854291337,36.16198860751367,9.03489682162007,80.00991277200667,52.34380578305798,36.16198860751367,0.0,18.832035595472362,1.5,3,0.0,103,33.00970873786408,427,2139,nan,nan,0.0,0,0,0,0
