scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total,variant,lambda_soc,lambda_task,lambda_kpi,infeasible_count,simulation_failure_count
final_c5_objective_ablation,C5,4052,2162,2144,89.33333333333333,99.16743755781684,33.996759988228646,359.65975715430005,31.38137574245132,61.69154228855722,45.51136363636363,38.308457711442784,0.2929453521424879,114.92395293820812,0,1070.0,25.969999999999885,4.505972222222217,38.33967322870433,30.824842368221372,7.514830860482953,80.39933513346504,19.62222222222208,2.751859398203538,28.072982970017833,53.24954615097822,2.0,4,574.6197646910406,260,30.76923076923077,7,107,,,2.061703260289505,553,0.0037282156605596,0.0023964169668033,0.0085005667526274,0.0109659999143332,26.528028933092223,135.09222423146474,26.528028933092223,0.0,23.086799276672693,0,0,0,0.0,155.16410017386175,47.52169428325851,No KPI-risk term,2.0,1.5,0.0,0,0
final_c5_objective_ablation,C5,4053,2143,2015,83.95833333333333,94.02706486234251,66.17399935640762,409.96728052666793,63.59828366235105,56.09756097560976,50.65011820330969,43.90243902439025,0.3094626613584191,157.5597621415188,0,1090.0,25.923999999999893,4.479027777777775,34.293441910969115,27.262427331055093,7.031014579914018,79.49749518240957,19.655808406738444,2.712656760981146,24.549770570073942,47.629780431901544,2.0,4,787.7988107075942,359,34.540389972144844,11,109,,,2.6082474663853645,734,0.0035534706626503,0.0016856039874255,0.0082540748582687,0.0138583339285105,27.629427792915532,139.68937329700273,27.629427792915532,0.0,23.480926430517712,0,0,0,0.0,150.5876532218793,48.517223427904646,No KPI-risk term,2.0,1.5,0.0,0,0
final_c5_objective_ablation,C5,4054,2175,2078,86.58333333333333,95.54022988505749,66.57030182146664,385.96588472716286,63.55398491522483,69.32773109243698,60.094173042966446,30.672268907563023,0.2940065214757328,137.203428348345,0,620.0,26.001999999999896,4.524444444444439,36.65765226873618,29.483990071446527,7.173662197289654,80.43065566583549,19.656476619858733,1.4060849706388814,28.077905100807648,50.91340592880026,2.0,4,686.0171417417249,315,33.65079365079365,6,62,,,1.5942916183266789,573,0.0027823588452472,0.001274290960282,0.0076512999599799,0.0103865000419318,28.50785340314136,143.77137870855148,28.50785340314136,0.0,24.179755671902267,0,0,0,0.0,60.121351826878865,23.55439355828487,No KPI-risk term,2.0,1.5,0.0,0,0
final_c5_objective_ablation,C5,4055,2187,2075,86.45833333333333,94.87882944673068,57.13621036776346,368.0517199132137,54.28086808384691,60.32863849765258,56.61555934128336,39.671361502347416,0.2857320733368019,122.57427428918058,0,1220.0,26.4899999999999,4.573333333333331,38.4364535987513,30.88319479630105,7.553258802450248,80.34871041615652,19.67611332089252,2.7987624731760175,28.084432323125032,53.38396333159903,2.0,4,612.8713714459029,344,31.686046511627907,11,122,,,2.717949000070803,699,0.0038883390558952,0.0020306670339778,0.0088707993971183,0.0147664580726996,27.188841201716738,137.64520743919886,27.188841201716738,0.0,23.22317596566523,0,0,0,0.0,129.16533482306335,42.689702192811225,No KPI-risk term,2.0,1.5,0.0,0,0
final_c5_objective_ablation,C5,4056,2094,2080,86.66666666666667,99.33142311365806,45.598211259870205,369.08539535684736,42.7448640374781,59.55882352941176,54.21115065243178,40.44117647058824,0.3250818468168588,128.3973070150196,0,960.0,25.215999999999894,4.368611111111107,33.57053514593083,26.988312012118683,6.58222313381215,80.39285610074643,19.575517438003303,2.4145422069144273,24.573769805204257,46.625743258237264,2.0,4,641.986535075098,300,38.0,7,96,,,2.1934155471390113,597,0.0036740628930301,0.0019432079279795,0.0086287663551047,0.0122520419536158,28.015075376884425,141.47236180904522,28.015075376884425,0.0,23.629815745393635,0,0,0,0.0,168.79803280195225,51.7489405375352,No KPI-risk term,2.0,1.5,0.0,0,0
final_c5_objective_ablation,C5,4007,2221,2021,84.20833333333333,90.9950472760018,35.52827960611748,361.92651194487274,33.802343012703915,38.98678414096917,27.730616864742498,61.01321585903083,0.2748531597715072,131.6385902703849,0,8920.0,28.523999999999788,4.75708333333334,38.95286248225738,31.2865748694184,7.666287612838998,80.31906482782647,19.68460231395519,13.74054714263651,17.546027726781887,54.10119789202415,2.0,4,658.1929513519244,419,36.754176610978526,222,892,,,2.4662573748501018,887,0.0027804479987036,0.001312332926318,0.0099249912891536,0.0210671250242739,26.24577226606539,134.02142051860204,26.24577226606539,0.0,23.054114994363022,0,0,0,0.0,174.28967202251678,59.032574417450746,No SOC term,0.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4008,2064,2062,85.91666666666667,99.9031007751938,0.3907836517301231,4.887115117960881,0.0096568876950216,8.148148148148149,0.0,91.85185185185183,0.3382344664303983,0.0,0,15470.0,27.829999999999696,4.512638888888906,31.835592085056582,25.486768579564465,6.348823505492167,80.05746684864636,23.79086926123812,25.486768579564465,0.0,44.216100118134186,2.0,4,0.0,794,27.45591939546599,322,1547,,,3.365039702388458,1547,0.0021752034275297,0.0013591250171884,0.0067385457688942,0.018958874978125,28.3710407239819,142.68390433096314,28.3710407239819,0.0,23.30575307045895,0,0,0,0.0,28.139671835184025,10.214256029837838,No SOC term,0.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4009,2128,2124,88.5,99.81203007518798,0.4317857975458027,4.674174195416344,0.0168248923128864,10.730593607305938,0.0,89.26940639269407,0.324775495287576,0.0,0,14970.0,28.601999999999705,4.646250000000013,30.280821696472575,24.23835986420548,6.042461832267134,80.04525143724555,21.12572016077893,24.23835986420548,0.0,42.0566968006564,2.0,4,0.0,708,34.6045197740113,340,1497,,,4.752811569953337,1497,0.0031748908282921,0.0013891670387238,0.0115209415787831,0.1145740419160574,27.45490981963928,138.87241148964597,27.45490981963928,0.0,23.24315297261189,0,0,0,0.0,306.90836465503685,93.35517874630746,No SOC term,0.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4010,2193,1973,82.20833333333333,89.96808025535795,23.806616950858103,385.6965877929659,22.433333051552086,33.62637362637363,18.181818181818176,66.37362637362637,0.2689619846300389,139.3389721124345,0,10950.0,28.343999999999756,4.709583333333341,43.87368553318598,35.12102782821661,8.752657704969371,80.05032493030733,19.63595817313136,17.549107649727997,17.571920178488618,60.93567435164721,2.0,4,696.6948605621726,541,28.09611829944547,247,1095,,,3.401270217495039,1087,0.0031290434383579,0.0015329590532928,0.0103557624504901,0.0720307920128107,27.58509659613615,139.7571297148114,27.58509659613615,0.0,23.65041398344066,0,0,0,0.0,95.86060725002235,36.27401116157909,No SOC term,0.0,1.5,1.5,0,0
final_c5_objective_ablation,C5,4011,2104,2100,87.5,99.80988593155894,0.4562039862155296,6.719175912656071,0.0218910411348198,7.017543859649122,0.8211143695014633,92.98245614035088,0.3287890988907223,0.0,0,15690.0,28.32399999999967,4.596944444444462,31.235924399339947,24.994298658502775,6.241625740837203,80.01779726112713,24.513552023642333,24.994298658502775,0.0,43.38322833241664,2.0,4,0.0,727,21.595598349381017,358,1569,,,4.288492408813909,1569,0.0027332647602383,0.0013476249296218,0.0102202590089291,0.0398611669661477,27.351816443594647,138.31867431485023,27.351816443594647,0.0,23.10707456978967,0,0,0,0.0,31.50315709436055,12.09589877692386,No SOC term,0.0,1.5,1.5,0,0
