scenario,strategy,mean_delay_mean,mean_delay_std,urgent_on_time_rate_mean,urgent_on_time_rate_std,completion_rate_mean,completion_rate_std,battery_delivered_energy_mean,battery_delivered_energy_std,wpt_loss_mean,wpt_loss_std,fleet_min_soc_mean,fleet_min_soc_std,critical_soc_event_count_mean,critical_soc_event_count_std,low_soc_stops_mean,low_soc_stops_std,charging_wait_mean,charging_wait_std,priority_decisions_mean,priority_decisions_std,total_priority_computation_time_s_mean,total_priority_computation_time_s_std,mean_decision_latency_ms_mean,mean_decision_latency_ms_std,p95_decision_latency_ms_mean,p95_decision_latency_ms_std,max_decision_latency_ms_mean,max_decision_latency_ms_std,solver_calls_per_replication_mean,solver_calls_per_replication_std,solver_total_time_per_replication_s_mean,solver_total_time_per_replication_s_std,solver_mean_time_per_call_ms_mean,solver_mean_time_per_call_ms_std,solver_p95_time_per_call_ms_mean,solver_p95_time_per_call_ms_std,solver_max_time_per_call_ms_mean,solver_max_time_per_call_ms_std
stress_non_binding,C3,0.20279645600168028,0.033600323944382456,97.06433336968672,1.1380454888420592,99.82046294168566,0.09925383595147097,36.71819299365246,1.3723305194087903,9.186802825393197,0.3460528612346151,55.16761338013355,4.076536627067369,0.0,0.0,0.0,0.0,7.037925797703793e-16,2.9036034844955904e-15,,,,,,,,,,,,,,,,,,,,
stress_non_binding,C4,0.2028183797131626,0.033614264860206605,97.06433336968672,1.1380454888420592,99.82046294168566,0.09925383595147097,36.72083050548772,1.368217492935397,9.186708508473671,0.34285976265119616,55.17045988184099,4.076325861812158,0.0,0.0,0.0,0.0,6.130799571716731e-16,2.851454267462771e-15,2184.26,50.50391377034506,0.06514274340122933,0.01125628218047059,0.029839870669042444,0.005258462102420911,0.05471979593858119,0.009092106712978314,1.0075916536152363,4.8533180849059745,,,,,,,,,,
stress_non_binding,C5,0.20296473561883593,0.0335844589570308,97.0699199618655,1.1408400092157176,99.82046294168566,0.09925383595147097,35.90715667632648,1.4247054179864185,8.9805207292654,0.36129335516776756,54.75301268216076,4.195927310255703,0.0,0.0,0.0,0.0,6.57370454367386e-16,2.808067143928451e-15,,,,,,,,,,,2424.94,54.756011691197244,27.475886517493056,1.8799007226696756,11.332899092639725,0.7690378151478314,30.384504085639477,2.8650048912089336,191.21185401454568,71.6620107414445
stress_strongly_constrained,C1,283.38053854985503,25.66543472842967,3.7668065524061696,1.3427718623006366,70.55552043295783,1.668779849184094,80.64148822557777,2.2435219089949516,20.146500818863434,0.6351809568650947,29.19168660752694,0.04852729240091158,0.0,0.0,0.0,0.0,555.3884054501336,23.72188796213539,,,,,,,,,,,,,,,,,,,,
stress_strongly_constrained,C2,305.3823092818055,32.14545404366682,5.483808321246778,1.726452392529632,68.61426569039565,1.9667522517685267,85.11675822557781,2.284483897593116,21.22176897254853,0.6180718167013022,19.24129536264098,0.07459436895334724,23.92,1.1924935288405263,0.0,0.0,597.2726757501268,33.40739278693691,,,,,,,,,,,,,,,,,,,,
stress_strongly_constrained,C3,353.45183226411194,23.637351811076886,6.768040415997697,2.214534953397349,65.33633066653127,1.3405717675834337,85.40355044780004,2.328809042402244,21.325083095364395,0.7264359190157845,19.20586852933859,0.05483669797921685,23.62,2.0191936155660897,0.0,0.0,660.3765353182065,19.471839289494316,,,,,,,,,,,,,,,,,,,,
stress_strongly_constrained,C4,351.4500633634181,23.100014964056736,6.694166991723066,2.2197179583297006,65.46866017314748,1.2868538462856234,85.26578933668894,2.314214118600507,21.321787405017457,0.5746118261178454,19.21813001353658,0.057629335665853425,23.44,1.0333223611442923,0.0,0.0,656.9359736876904,16.996165281190024,275.26,85.32932840304258,0.019978626198135264,0.01287443141221886,0.07147050000550757,0.03514767804705395,0.13309882301837195,0.03187712870331481,0.8760085562244058,1.4584682917284615,,,,,,,,,,
stress_strongly_constrained,C5,327.0659802058219,29.133790178753774,6.169959810240268,2.1362467794517115,67.12417068014116,1.7605625920019636,85.27414933668894,2.3913948451657605,21.289979406926182,0.7011417701359124,19.2221865069338,0.06413090959669168,23.72,1.0109603435973782,0.0,0.0,625.8386071031682,29.34204867094862,,,,,,,,,,,246.2,80.90155267045124,1.1109345950046554,0.458834360362829,4.518389975034739,1.1709745419640427,12.66750569292344,4.279756226060874,23.617577948607504,10.857179832568171
stress_transition,C1,33.935076230289724,16.422698005038054,15.098855115891604,7.317461547562048,97.51066767147509,1.701505218347477,51.79780201943098,2.1616192061772956,13.021788176695239,0.5430895043597498,29.288887989930924,0.06128923519108531,0.0,0.0,0.0,0.0,203.00066925133922,34.65539101801857,,,,,,,,,,,,,,,,,,,,
stress_transition,C2,39.21411193552207,22.092898578459845,24.7329840828362,7.129816246057236,95.2070620793281,2.995311163254064,56.265659666681366,2.098998709198071,14.109856223042671,0.5761179063547057,19.3321072813802,0.08030601906565105,14.88,2.016665261145291,0.0,0.0,194.76914197732688,48.945357829710645,,,,,,,,,,,,,,,,,,,,
stress_transition,C3,106.02432276913537,19.87311140658564,35.14058280486735,6.303230908982314,82.72854049953446,1.5327399189273467,57.15223035276443,1.9556760277141132,14.30463753671743,0.5792960773359089,19.342941492144572,0.09118379491587282,12.6,1.9059520091609052,0.0,0.0,312.9016045282045,16.014923757837536,,,,,,,,,,,,,,,,,,,,
stress_transition,C4,105.36331312427882,19.506394651508536,35.04488151683465,6.266632047422559,82.85407989294654,1.4288376267615783,57.01566257498664,1.9713413969012623,14.305911411802162,0.5090025418836612,19.354910103937282,0.09330854902774671,12.72,1.9901799734020567,0.0,0.0,311.19749126663265,15.57702085109657,936.9,162.9148080865504,0.05625879653263833,0.019037374077986353,0.05938112177002201,0.013522248160108472,0.11241350020281965,0.022729280638268626,0.4152544261887669,0.806591000779757,,,,,,,,,,
stress_transition,C5,99.08331879663035,21.32630505193612,33.53014473649374,6.566239323162379,84.32726591209051,2.4644943160093464,57.114767574986644,1.8781340288277595,14.27441441744867,0.5191276364170693,19.34468503332419,0.10158511867800535,12.58,1.5398118093336164,0.0,0.0,299.6475929167544,22.393700639196165,,,,,,,,,,,886.94,173.92355932936724,3.698770382842049,0.9794210032046943,4.132655822025161,0.5623889030337207,9.793956325622272,1.6413791763490915,22.02530997339636,6.89535941601991
