scenario,strategy,replication,pad_id,utilization,sessions,wait_min,input_kwh,delivered_kwh
v3_primary_challenge,C2,1026,1,47.198995097923714,1468,4.736951571734001e-16,33.983276470505196,31.142254331104994
v3_primary_challenge,C3,1026,1,43.64281868539417,1518,4.736951571734001e-16,31.422829453483924,28.758616065589774
v3_primary_challenge,C4,1026,1,43.64281868539417,1518,4.736951571734001e-16,31.422829453483924,28.77490286173985
v3_primary_challenge,C5,1026,1,43.64281868539417,1518,4.736951571734001e-16,31.422829453483924,28.792227912105695
v3_primary_challenge,C1,1027,1,45.67811531356668,15,112.68465027180136,32.888243025768006,30.11101519977836
v3_primary_challenge,C2,1027,1,45.93888194318152,1270,19.349097577247935,33.07599499909073,30.37153676017944
v3_primary_challenge,C3,1027,1,40.17389071772272,1453,0.0,28.92520131676046,26.485422854277708
v3_primary_challenge,C4,1027,1,40.17389071772273,1453,0.0,28.92520131676046,26.513578199563078
v3_primary_challenge,C5,1027,1,40.17389071772273,1453,0.0,28.92520131676046,26.52655770547698
v3_primary_challenge,C1,1028,1,39.52712115219674,13,53.56642047146785,28.45952722958165,26.129951746285947
v3_primary_challenge,C2,1028,1,45.0747929670648,1401,0.0,32.45385093628674,29.785235141335768
v3_primary_challenge,C3,1028,1,42.57362394418169,1493,0.0,30.653009239810913,28.067826520496663
v3_primary_challenge,C4,1028,1,42.57362394418169,1493,0.0,30.653009239810913,28.08594816942614
v3_primary_challenge,C5,1028,1,42.57362394418169,1493,0.0,30.653009239810913,28.07586984740215
v3_primary_challenge,C1,1029,1,42.5977799820046,14,67.81034791285869,30.670401587043322,28.124225376191422
v3_primary_challenge,C2,1029,1,50.85534730472712,1097,112.55176170329602,36.615850059403556,33.51245779249759
v3_primary_challenge,C3,1029,1,38.98816398518097,1430,0.0,28.071478069330393,25.707221219605124
v3_primary_challenge,C4,1029,1,38.98816398518097,1430,0.0,28.071478069330393,25.740064005866834
v3_primary_challenge,C5,1029,1,38.98816398518097,1430,0.0,28.071478069330393,25.73268377677132
v3_primary_challenge,C1,1030,1,42.81573231567615,14,0.0,30.827327267286833,28.140820717180127
v3_primary_challenge,C2,1030,1,48.080611044223815,1149,67.30575991530738,34.618039951841226,31.835339843656616
v3_primary_challenge,C3,1030,1,38.82467335376446,1383,0.0,27.953764814710507,25.610537331262385
v3_primary_challenge,C4,1030,1,38.82467335376446,1383,0.0,27.953764814710507,25.611643968954706
v3_primary_challenge,C5,1030,1,38.82467335376446,1383,0.0,27.953764814710507,25.598517952999277
v3_primary_challenge,C1,1031,1,36.74992891046135,12,172.53368416112892,26.45994881553217,24.110773089381087
v3_primary_challenge,C2,1031,1,41.797413560789195,1438,0.0,30.094137763768327,27.57212196000271
v3_primary_challenge,C3,1031,1,41.797413560789195,1438,0.0,30.094137763768327,27.559440808273376
v3_primary_challenge,C4,1031,1,41.797413560789195,1438,0.0,30.094137763768327,27.577795658708272
v3_primary_challenge,C5,1031,1,41.797413560789195,1438,0.0,30.094137763768327,27.585846619538977
v3_primary_challenge,C1,1032,1,36.57774844813357,12,74.22467845514294,26.33597888265617,24.12412490561906
v3_primary_challenge,C2,1032,1,41.63330115519901,1493,0.0,29.97597683174339,27.450591502009264
v3_primary_challenge,C3,1032,1,41.75760120206885,1489,0.0,30.065472865489678,27.55067545066298
v3_primary_challenge,C4,1032,1,41.75760120206885,1489,0.0,30.065472865489678,27.52405645208715
v3_primary_challenge,C5,1032,1,41.75760120206885,1489,0.0,30.065472865489678,27.571186204592223
v3_primary_challenge,C1,1033,1,39.4695471310063,13,178.3734343041162,28.41807393432454,26.112601998164504
v3_primary_challenge,C2,1033,1,41.928134783798804,1327,1.1842378929335003e-16,30.188257044335266,27.690068074798535
v3_primary_challenge,C3,1033,1,38.99446828735403,1413,0.0,28.07601716689503,25.724296360073954
v3_primary_challenge,C4,1033,1,38.99446828735403,1413,0.0,28.07601716689503,25.710452091065193
v3_primary_challenge,C5,1033,1,38.99446828735403,1413,1.1842378929335003e-16,28.07601716689503,25.727378201176695
v3_primary_challenge,C1,1034,1,36.81874516532325,12,89.39479262561,26.50949651903274,24.113826240091246
v3_primary_challenge,C2,1034,1,41.876021313081175,1484,0.0,30.150735345418592,27.615543130722422
v3_primary_challenge,C3,1034,1,41.876021313081175,1484,0.0,30.150735345418592,27.62771626289445
v3_primary_challenge,C4,1034,1,41.876021313081175,1484,0.0,30.150735345418592,27.603780050556033
v3_primary_challenge,C5,1034,1,41.876021313081175,1484,0.0,30.150735345418592,27.63987594596923
v3_primary_challenge,C1,1035,1,45.69671700415046,15,66.61320217778265,32.90163624298833,30.147984538794294
v3_primary_challenge,C2,1035,1,47.351971320309865,985,74.22431807934032,34.09341935062309,31.347430342315363
v3_primary_challenge,C3,1035,1,36.34445408264993,1338,0.0,26.168006939508086,23.98407426193483
v3_primary_challenge,C4,1035,1,39.78059047428907,1269,0.0,28.642025141488254,26.280993617051816
v3_primary_challenge,C5,1035,1,54.64103906902449,1090,391.16676850147024,39.34154812969771,36.20279009435
v3_primary_challenge,C1,1036,1,45.836678031659055,15,77.40139432770957,33.002408182794525,30.121327367721545
v3_primary_challenge,C2,1036,1,47.070029695564415,1133,22.864504183362442,33.890421380806444,30.938482310239074
v3_primary_challenge,C3,1036,1,37.47167109696663,1370,0.0,26.979603189816086,24.682715365772488
v3_primary_challenge,C4,1036,1,37.47167109696663,1370,0.0,26.979603189816086,24.68364497163279
v3_primary_challenge,C5,1036,1,37.47167109696663,1370,0.0,26.979603189816086,24.697512161653684
