scenario,strategy,replication,time_s,candidate_count,available_pads,c3_agv,c4_agv,c4_preview_task_id,different
v3_primary_challenge,C2,1007,37086.14942693879,2,1,4,4,963,0
v3_primary_challenge,C2,1007,37156.14942693879,3,1,4,4,964,0
v3_primary_challenge,C2,1007,37225.251279113836,4,1,4,3,964,1
v3_primary_challenge,C2,1007,37247.46675716744,3,1,4,3,964,1
v3_primary_challenge,C2,1007,37257.46675716744,2,1,4,4,966,0
v3_primary_challenge,C2,1007,38758.33508945853,2,1,2,2,1012,0
v3_primary_challenge,C2,1007,38822.01433146791,2,1,3,3,1013,0
v3_primary_challenge,C2,1007,39382.95645383634,2,1,4,4,1027,0
v3_primary_challenge,C2,1007,39399.077075930174,2,1,3,2,1029,1
v3_primary_challenge,C2,1007,40834.91885503577,2,1,4,3,1073,1
v3_primary_challenge,C2,1007,40859.81027360101,2,1,4,4,1075,0
v3_primary_challenge,C2,1007,40918.54632656404,2,1,4,4,1076,0
v3_primary_challenge,C2,1007,41378.69471160708,5,1,4,4,1089,0
v3_primary_challenge,C2,1007,41401.0406956159,4,1,4,4,1089,0
v3_primary_challenge,C2,1007,41411.0406956159,3,1,4,4,1089,0
v3_primary_challenge,C2,1007,41462.72906997946,2,1,4,4,1089,0
v3_primary_challenge,C2,1007,41742.39227919208,2,1,4,4,1095,0
v3_primary_challenge,C2,1007,41812.39227919208,4,1,4,4,1097,0
v3_primary_challenge,C2,1007,41822.39227919208,3,1,4,4,1097,0
v3_primary_challenge,C2,1007,41892.39227919208,4,1,4,3,1096,1
v3_primary_challenge,C2,1007,41962.39227919208,5,1,4,4,1099,0
v3_primary_challenge,C2,1007,42032.39227919208,5,1,4,3,1096,1
v3_primary_challenge,C2,1007,42043.95052041061,4,1,4,3,1096,1
v3_primary_challenge,C2,1007,42053.95052041061,3,1,4,4,1099,0
v3_primary_challenge,C2,1007,42538.43240477495,3,1,4,4,1112,0
v3_primary_challenge,C2,1007,42550.799223913746,2,1,4,4,1112,0
v3_primary_challenge,C2,1007,42620.799223913746,3,1,4,4,1113,0
v3_primary_challenge,C2,1007,42644.79079761501,2,1,4,4,1113,0
v3_primary_challenge,C2,1007,42723.24481110005,2,1,4,4,1115,0
v3_primary_challenge,C2,1007,42793.24481110005,3,1,4,4,1116,0
v3_primary_challenge,C2,1007,42834.08835148254,3,1,4,3,1115,1
v3_primary_challenge,C2,1007,42898.95340896562,3,1,4,4,1118,0
v3_primary_challenge,C2,1007,42918.02926013143,2,1,4,4,1118,0
v3_primary_challenge,C2,1007,43292.12646665572,4,1,3,3,1128,0
