scenario,strategy,one_minus_soc_mean,one_minus_soc_std,one_minus_soc_min,one_minus_soc_max,E_next_mean,E_next_std,E_next_min,E_next_max,T_idle_mean,T_idle_std,T_idle_min,T_idle_max,eta_WPT_mean,eta_WPT_std,eta_WPT_min,eta_WPT_max,D_mean,D_std,D_min,D_max,one_minus_soc_cv,E_next_cv,T_idle_cv,eta_WPT_cv,D_cv
stress_w105_p1_kw5,C4,0.5639890261821672,0.1584153235668704,0.1859428568959167,0.8951151832400179,0.5001513073417894,0.35354579721407164,0.0,1.0,0.0420110455100958,0.051763958235443906,0.0,0.3391853912674108,0.7572051998870261,0.24242570931506063,0.12370768717692188,1.0,0.012944746571413101,0.046698111235967385,0.0,0.3171017727897214,0.2847253790374775,0.7080519223114428,1.22784832137442,0.32032694077455814,3.73893050678314
stress_w105_p2_kw1,C4,0.5615969454899434,0.17157076548177638,0.19525578501135532,0.9153047270601621,0.49952093474681303,0.3532686234953025,0.0,1.0,0.03760076960580734,0.04933891281137983,0.0,0.2841172131232597,0.7490689345841934,0.2461344824045213,0.12370768717692188,1.0,0.003994013586477887,0.020274872018327773,0.0,0.165583035554469,0.30806684469628004,0.7104666250073673,1.3099517397372131,0.3289153784599016,5.464571459116266
stress_w105_p2_kw3,C4,0.5683636955414729,0.16651816804269756,0.18713056545054574,0.8988835145870209,0.4984739778442821,0.3530496199915432,0.0,1.0,0.0383658495227303,0.05064391539899099,0.0,0.31690230387222135,0.749406427368314,0.24677183436373132,0.12370768717692188,1.0,0.004046567020631883,0.021435873725107406,0.0,0.20112935291543407,0.29708436297202867,0.7097924237377398,1.3191035404437557,0.3294656860642881,5.640140346995562
stress_w105_p2_kw5,C4,0.41009555506152173,0.12798996464908668,0.11754188947458308,0.7258155788269488,0.5001473019500009,0.3538690393390245,0.0,1.0,0.03811388145204228,0.05000030535602036,0.0,0.3390501130707498,0.7503357787466678,0.24618335600803867,0.12370768717692188,1.0,0.0039741887170584,0.021595370318108355,0.0,0.2221691261056832,0.32465995249539664,0.7085044346393348,1.3117717525151271,0.3281655724898689,5.689553233707409
stress_w75_p1_kw1,C4,0.6093713442912807,0.1674747969544648,0.19536621618625966,0.9299713075789449,0.49985590559964327,0.3542249422299227,0.0,1.0,0.08729562067273056,0.11732220852024845,0.0,0.8136466691859536,0.7594435073219894,0.2416205494947195,0.12370768717692188,1.0,0.018641498719495362,0.058500024582594436,0.0,0.36488391110183405,0.2762680145849376,0.7093067578689026,1.3370663701931746,0.31823749320705585,3.1597005216579674
stress_w75_p1_kw3,C4,0.20454332922077723,0.08827654338668588,0.02408997808003452,0.47094628598951616,0.5017600309055462,0.3541866560359201,0.0,1.0,0.08180526965891577,0.10568804628475302,0.0,0.8219207664975834,0.7559324069500515,0.24289930068920515,0.12370768717692188,1.0,0.018129888730047332,0.05747799632141228,0.0,0.3722630831039136,0.47936669276486993,0.7064336719723835,1.2898858300664253,0.32138417698108396,3.1898955779574782
stress_w75_p1_kw5,C4,0.060493871581805664,0.0976251435862264,2.4498622644776682e-05,0.4675297888787142,0.5027636015920186,0.3536399372159803,0.0,1.0,0.03601379667565335,0.06143764387367739,0.0,0.5430588690288352,0.7467668808237985,0.2477494573444814,0.12370768717692188,1.0,0.007871938879776521,0.03640938661616059,0.0,0.3336926420393187,1.6480409551003143,0.7039540986656594,1.7026953931520765,0.3318397018649953,4.694293822392896
stress_w75_p2_kw1,C4,0.6087702918054785,0.16712445928589328,0.19515882173151305,0.9291618013316545,0.5005421052665153,0.3542805364795505,0.0,1.0,0.08024032569109664,0.10229920492229697,0.0,0.7694584593199204,0.7514073238792358,0.24541661750738894,0.12370768717692188,1.0,0.006166314908266967,0.028774748960481062,0.0,0.2724134371499259,0.2764081305997677,0.708345685818174,1.2733523813800165,0.32666777369923183,4.733464045570816
stress_w75_p2_kw3,C4,0.06299393005843869,0.09906971787829649,1.5833086593808332e-05,0.4669501341892836,0.5027848811616835,0.353968914522121,0.0,1.0,0.03724796552690328,0.06563861647235011,0.0,0.5904895414381893,0.7463209014288463,0.24816223555534792,0.12370768717692188,1.0,0.0026580769686413335,0.01791328661266013,0.0,0.22773265548050683,1.6128244693530187,0.7046028802889016,1.7586533964270135,0.3325483990938254,6.965504398316999
stress_w75_p2_kw5,C4,0.036359091602982514,0.08045020806637616,2.219304042760643e-05,0.4659709945717878,0.5033477923340749,0.35392706805174434,0.0,1.0,0.01820071683604766,0.04510896219757739,0.0,0.4473119963175264,0.7502901754080404,0.2466889080280655,0.12370768717692188,1.0,0.0012557317092499862,0.011699449228505535,0.0,0.17756203781846946,2.2421043483711154,0.7037756862697185,2.466981003730164,0.32885001386374,9.849217544760574
stress_w90_p1_kw1,C4,0.6023887655161998,0.1705142568690209,0.19537719122454233,0.9278594997900212,0.49813675573324095,0.354097233003099,0.0,1.0,0.05879582492744365,0.07535819364920246,0.0,0.5033605922344957,0.7591492475970236,0.24196675710013935,0.12370768717692188,1.0,0.015652822027532785,0.05228536840765617,0.0,0.33035923842241866,0.2844090731074498,0.7122813665678752,1.273634873920248,0.3188681700187706,3.4043472962331
stress_w90_p1_kw3,C4,0.5522887445813786,0.1437025532444511,0.19185165941112511,0.8661903048452863,0.5011095568036488,0.35399159806344893,0.0,1.0,0.058646135682978565,0.07345927844334925,0.0,0.5546622304119166,0.7584045572286314,0.241234441121124,0.12370768717692188,1.0,0.015816846742199034,0.05299808481475688,0.0,0.3615818861771698,0.26271403599531756,0.7070827784151358,1.2506401733955643,0.3181362009450304,3.383350894253132
stress_w90_p1_kw5,C4,0.16610662704941817,0.09985604797599348,0.007702315918688889,0.47345652166910296,0.5008481108848625,0.35425735475071946,0.0,1.0,0.05188923764460562,0.0646188002765997,0.0,0.4962827833951571,0.7540772820312316,0.24379931120071435,0.12370768717692188,1.0,0.014153033508791046,0.049661061136630595,0.0,0.3546537538585973,0.6874860026043301,0.7079943841401471,1.2455658889121137,0.32339287936527633,3.5433424208200175
stress_w90_p2_kw1,C4,0.6007248484390055,0.17434104642463732,0.1952890119927124,0.9272267853310575,0.4990327741707023,0.3541829402290566,0.0,1.0,0.05323854837936226,0.06791353024698188,0.0,0.4529028290476539,0.7492255764421505,0.2458351265646135,0.12370768717692188,1.0,0.005063925306570939,0.02529193075885169,0.0,0.23658390688220338,0.29219930928874105,0.7107900373006031,1.2710816680321873,0.3282662860208351,5.165439539267673
stress_w90_p2_kw3,C4,0.2151138907294501,0.08872270461793759,0.042725613776458345,0.4856095198818266,0.5009437811943465,0.3539421696209547,0.0,1.0,0.052576071057975335,0.06777114666427547,0.0,0.5122502330494774,0.7495667075077601,0.2453773469748099,0.12370768717692188,1.0,0.00498019872293303,0.02539885978330549,0.0,0.2654994028044921,0.4832985711201836,0.7071318301939631,1.2880073293017378,0.32744717051615363,5.1910978950530104
stress_w90_p2_kw5,C4,0.05691452288489792,0.09175462472511782,3.145538129884606e-05,0.4692814928005697,0.5034393297308969,0.3540051153245865,0.0,1.0,0.024482240643573877,0.04273189893996107,0.0,0.36231364147771133,0.7495444438119705,0.2458557173354805,0.12370768717692188,1.0,0.0020185368177953276,0.014977192263095301,0.0,0.20287136654841378,1.645049074888123,0.7038510863140379,1.747627254160243,0.3280844944535511,7.690594708459831
