scenario,metric,comparison,mean_diff,ci95_low,ci95_high,cohens_d,n
stress_w105_p2_kw1,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w105_p2_kw3,mean_delay,C4-C2,12.854656667457952,9.813770064945121,15.895543269970783,1.2013775851917363,50
stress_w105_p2_kw3,mean_delay,C4-C3,-4.590618852119449,-7.449131113211316,-1.7321065910275815,-0.45640505388401953,50
stress_w105_p2_kw3,urgent_on_time_rate,C4-C2,5.022152799082044,3.4241584136056358,6.620147184558453,0.8931696170463586,50
stress_w105_p2_kw3,urgent_on_time_rate,C4-C3,-1.19458998252422,-2.0731623372394754,-0.31601762780896503,-0.38642089614817626,50
stress_w105_p2_kw3,completion_rate,C4-C2,-2.7903227403718756,-3.58269108757319,-1.997954393170561,-1.000798367871249,50
stress_w105_p2_kw3,completion_rate,C4-C3,1.254566340237865,0.5283009121343373,1.980831768341393,0.49092768994583413,50
stress_w105_p2_kw3,wpt_loss,C4-C2,0.7673996833543653,-0.4064073314247494,1.94120669813348,0.18579934705771867,50
stress_w105_p2_kw3,wpt_loss,C4-C3,-0.0010643597924294569,-1.319322856237568,1.3171941366527093,-0.00022946008460422457,50
stress_w105_p2_kw3,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w105_p2_kw3,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w105_p2_kw5,mean_delay,C4-C2,-0.3699967684390858,-0.7723486941059035,0.03235515722773191,-0.2613431462014296,50
stress_w105_p2_kw5,mean_delay,C4-C3,-0.27623870529918604,-0.6523017025184356,0.09982429192006348,-0.2087580325443989,50
stress_w105_p2_kw5,urgent_on_time_rate,C4-C2,3.60591431835714,1.9912444579706166,5.220584178743664,0.6346743291652268,50
stress_w105_p2_kw5,urgent_on_time_rate,C4-C3,0.002591838290513948,-0.4319105778023885,0.4370942543834164,0.0016952547669148027,50
stress_w105_p2_kw5,completion_rate,C4-C2,-0.1608528158285327,-0.4435979128130887,0.12189228115602327,-0.16167871677930362,50
stress_w105_p2_kw5,completion_rate,C4-C3,0.12072011631586549,-0.04456000921397607,0.28600024184570705,0.20757654522626384,50
stress_w105_p2_kw5,wpt_loss,C4-C2,-0.5355426948802213,-1.053548933943309,-0.01753645581713359,-0.2938179859454003,50
stress_w105_p2_kw5,wpt_loss,C4-C3,-0.11481407333532294,-0.6365478515441517,0.40691970487350587,-0.06254108890663874,50
stress_w105_p2_kw5,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w105_p2_kw5,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw1,mean_delay,C4-C2,39.835180262484954,21.4953696007763,58.17499092419361,0.6172927942130154,50
stress_w75_p1_kw1,mean_delay,C4-C3,-5.508032334575246,-21.348615405516252,10.33255073636576,-0.09881994005174573,50
stress_w75_p1_kw1,urgent_on_time_rate,C4-C2,9.654223671906873,8.499764871743064,10.808682472070682,2.3766114558779057,50
stress_w75_p1_kw1,urgent_on_time_rate,C4-C3,-0.9570572004318447,-1.2770373739747527,-0.6370770268889367,-0.8500296874043782,50
stress_w75_p1_kw1,completion_rate,C4-C2,-5.495120889492845,-7.088354728919825,-3.901887050065865,-0.9802051894180469,50
stress_w75_p1_kw1,completion_rate,C4-C3,0.7087797874133953,-0.2793877658850433,1.696947340711834,0.2038449715834614,50
stress_w75_p1_kw1,wpt_loss,C4-C2,0.36814686783045203,-0.9788557756835135,1.7151495113444175,0.07767333100778119,50
stress_w75_p1_kw1,wpt_loss,C4-C3,-0.2437981964182608,-1.5429813139347428,1.0553849210982214,-0.05333095840257562,50
stress_w75_p1_kw1,low_soc_stops,C4-C2,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw1,low_soc_stops,C4-C3,0.0,0.0,0.0,0.0,50
stress_w75_p1_kw3,mean_delay,C4-C2,-0.001636971984158786,-0.004903810695864015,0.0016298667275464424,-0.14240748671356823,50
