scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,ablation_group,ablation_case
ablation_equal_distance,C4,1014,2235,2093,87.20833333333333,93.64653243847874,9.964889115989518,329.34228234499267,8.976736699506334,22.869955156950674,9.837898267188372,77.13004484304933,0.2622137269697151,112.65156049734618,0,11520.0,29.12399999999954,4.816250000000006,42.10305829090255,35.98883511577095,6.114223175131622,85.47795950382839,19.687333101081112,18.440764981254564,17.548070134516383,58.4764698484758,2.0,4,563.2578024867308,518,44.01544401544402,257,1152,dist,equal_distance
ablation_equal_distance,C1,1015,2188,2030,84.58333333333333,92.77879341864717,78.39061497987555,370.53866279989785,74.83213289769458,77.36720554272517,72.76353276353275,22.632794457274827,0.2588551442484839,214.67551122598687,0,100.0,26.27599999999979,4.559722222222209,48.012148070545805,35.083504545882136,12.928643524663672,73.07214102216965,19.722590413776175,0.0,35.083504545882136,66.68353898686917,0.0,0,1073.3775561299342,0,0.0,0,10,dist,equal_distance
ablation_equal_distance,C2,1015,2188,2178,90.75,99.54296160877514,14.172018667736996,265.73374544475007,12.163199419236285,47.57505773672055,31.225071225071222,52.42494226327945,0.27775042562821506,60.26405975647174,0,7460.0,27.74799999999967,4.661944444444439,41.20984677384258,32.60172676810443,8.608120005738158,79.11149717935363,19.695912269306767,11.531915569870915,21.069811198233513,57.23589829700359,2.0,4,301.3202987823587,346,17.91907514450867,152,746,dist,equal_distance
ablation_equal_distance,C3,1015,2188,1927,80.29166666666667,88.07129798903108,42.32613566331146,401.66774509441154,40.661067234667804,39.030023094688225,25.98290598290598,60.969976905311775,0.2836844031226048,161.84469944465135,0,9480.0,28.151999999999614,4.690000000000001,39.0736148758623,32.202865656993325,6.87074921886898,82.4158853981197,19.735199598635067,14.654032734710754,17.548832922282564,54.26890954980874,2.0,4,809.2234972232568,440,59.54545454545455,201,948,dist,equal_distance
ablation_equal_distance,C4,1015,2188,2007,83.625,91.72760511882998,31.854511041703823,373.66046491934986,30.07923252678108,41.33949191685913,28.034188034188034,58.66050808314087,0.2833195727637176,126.63762705948253,0,8930.0,28.04199999999963,4.682361111111111,39.204953805061635,31.958476768104443,7.2464770369572,81.51642500845998,19.747613433497023,14.409470709884898,17.549006058219543,54.451324729252285,2.0,4,633.1881352974126,417,47.00239808153477,183,893,dist,equal_distance
ablation_equal_distance,C1,1016,2129,2126,88.58333333333333,99.85908877407233,33.64944678393106,330.10052524857673,30.805806124900172,61.09839816933638,48.87706855791962,38.901601830663616,0.309897406746127,110.90847525320282,0,90.0,25.565999999999818,4.436666666666654,35.53693357139431,31.580282132573263,3.9566514388210425,88.86608651567512,19.72427417209711,0.0,31.580282132573263,49.3568521824921,0.0,0,554.5423762660141,0,0.0,0,9,dist,equal_distance
ablation_equal_distance,C2,1016,2129,2122,88.41666666666667,99.67120713950212,0.6831293416749098,147.02801198974848,0.15884243987759467,11.441647597254,0.17730496453900457,88.558352402746,0.2993272846832717,13.580064596292601,0,13770.0,28.301999999999552,4.626666666666674,39.342177514022154,32.847682432988044,6.494495081034136,83.49228362177114,19.781014584921362,22.321679374069053,10.526003058918986,54.64191321391969,2.0,4,67.900322981463,664,17.319277108433734,286,1377,dist,equal_distance
ablation_equal_distance,C3,1016,2129,2127,88.625,99.90605918271488,0.40595446371264915,3.5945441680749353,0.008335536729135284,7.322654462242562,0.0,92.67734553775743,0.3249373032589905,0.0,0,15010.0,28.54999999999952,4.643888888888899,30.12257082676336,24.180277851912354,5.942292974851033,80.27295542261157,24.362511372007674,24.180277851912354,0.0,41.836903926060266,2.0,4,0.0,714,63.305322128851536,312,1501,dist,equal_distance
ablation_equal_distance,C4,1016,2129,2127,88.625,99.90605918271488,0.40595446371264915,3.5945441680749353,0.008335536729135284,7.322654462242562,0.0,92.67734553775743,0.3249373032589906,0.0,0,15010.0,28.549999999999518,4.643888888888898,30.122570826763358,25.265846573374894,4.856724253388496,83.87679364646608,22.54322648757339,25.265846573374894,0.0,41.836903926060266,2.0,4,0.0,714,49.43977591036415,312,1501,dist,equal_distance
ablation_equal_distance,C1,1017,2134,2130,88.75,99.81255857544518,15.32092255186625,258.32459701806573,13.285865990655042,43.832599118942724,32.738095238095234,56.167400881057276,0.31236073967261097,64.56198483758303,0,80.0,25.62399999999981,4.446944444444432,34.15013371786006,28.07119313459114,6.078940583268913,82.19936521042167,19.702937317868162,0.0,28.07119313459114,47.430741274805634,0.0,0,322.80992418791516,0,0.0,0,8,dist,equal_distance
