strategy,agv_id,time_s,time_h,soc
C4,3,45519.81340999063,12.644392613886286,39.53308534781346
C4,3,45689.81340999063,12.691614836108508,39.16586312559124
C4,3,45769.38546987692,12.713718186076923,39.12308534781346
C4,3,45769.38546987692,12.713718186076923,39.12308534781346
C4,3,45779.38546987692,12.716495963854701,39.08030757003568
C4,3,45779.38546987692,12.716495963854701,39.08030757003568
C4,3,45949.38546987692,12.763718186076922,38.713085347813454
C4,3,46099.38546987692,12.80538485274359,38.43141868114678
C4,3,46365.72955814155,12.879369321705987,38.19252979225789
C4,3,46617.47219159054,12.949297830997372,37.953640903369006
C4,3,46777.47219159054,12.993742275441816,37.62919645892456
C4,3,46787.47219159054,12.996520053219594,37.58641868114678
C4,3,46823.7456404036,13.006596011223222,38.018515479476434
C4,3,46833.7456404036,13.009373789001,37.975737701698655
C4,3,46833.7456404036,13.009373789001,37.975737701698655
C4,3,46963.7456404036,13.045484900112111,37.77962659058754
C4,3,47103.7456404036,13.084373789000999,37.54073770169865
C4,3,47298.02334568646,13.138339818246239,37.25907103503198
C4,3,47308.02334568646,13.141117596024017,37.2162932572542
C4,3,47368.02334568646,13.157784262690683,38.1662932572542
C4,3,47378.02334568646,13.160562040468461,38.123515479476424
C4,3,47378.02334568646,13.160562040468461,38.123515479476424
C4,3,47518.02334568646,13.199450929357349,37.88462659058753
C4,3,47682.05245124227,13.24501456978952,37.56018214614309
C4,3,47852.05245124227,13.292236792011742,37.19295992392087
C4,3,47862.05245124227,13.295014569789519,37.15018214614309
C4,3,47922.05245124227,13.311681236456186,37.94865638326164
C4,3,47932.05245124227,13.314459014233964,37.90587860548386
C4,3,47932.05245124227,13.314459014233964,37.90587860548386
C4,3,48092.05245124227,13.358903458678409,37.58143416103942
C4,3,48301.739452285816,13.417149847857171,37.21421193881719
C4,3,48461.739452285816,13.461594292301616,36.88976749437275
C4,3,48631.739452285816,13.508816514523838,36.52254527215052
C4,3,48781.739452285816,13.550483181190504,36.24087860548386
C4,3,48951.739452285816,13.597705403412727,35.87365638326163
C4,3,48961.739452285816,13.600483181190505,35.83087860548385
C4,3,48961.739452285816,13.600483181190505,35.83087860548385
C4,3,49131.739452285816,13.647705403412727,35.46365638326163
C4,3,49271.739452285816,13.686594292301615,35.22476749437274
C4,3,49413.40385263167,13.725945514619909,35.181989716594956
C4,3,49434.95700819518,13.73193250227644,35.438735347838616
C4,3,49444.95700819518,13.734710280054218,35.39595757006084
C4,3,49470.39680918489,13.741776891440246,35.7987544190645
C4,3,49480.39680918489,13.744554669218024,35.75597664128672
C4,3,49540.39680918489,13.761221335884692,36.47070900746981
C4,3,49550.39680918489,13.763999113662468,36.42793122969203
C4,3,49576.54014105446,13.771261150292904,36.73935598714283
C4,3,49586.54014105446,13.774038928070683,36.69657820936505
C4,3,49586.54014105446,13.774038928070683,36.69657820936505
C4,3,49596.54014105446,13.77681670584846,36.65380043158727
C4,3,49601.46463311056,13.778184620308489,36.7317715558089
C4,3,49611.46463311056,13.780962398086267,36.68899377803112
C4,3,49642.199471119915,13.789499853088865,36.90630169034463
C4,3,49652.199471119915,13.792277630866643,36.86352391256685
C4,3,49672.66134229155,13.797961483969875,37.18750353945102
C4,3,49812.66134229155,13.836850372858763,36.948614650562135
C4,3,49838.37597928883,13.84399332758023,36.905836872784356
C4,3,49843.95428884609,13.845542858012804,36.964291920033354
C4,3,49853.95428884609,13.848320635790582,36.921514142255575
C4,3,49888.020980267574,13.857783605629882,37.1623796249361
C4,3,50028.020980267574,13.896672494518771,36.923490736047206
C4,3,50168.020980267574,13.93556138340766,36.68460184715832
C4,3,50243.95428884609,13.956653969123915,36.64182406938054
C4,3,50262.57038900616,13.961825108057267,36.93657898858165
C4,3,50282.57038900616,13.967380663612824,36.89380121080387
C4,3,50282.57038900616,13.967380663612824,36.89380121080387
C4,3,50292.57038900616,13.9701584413906,36.85102343302609
C4,3,50352.57038900616,13.986825108057268,37.76205394828372
C4,3,50518.61251243468,14.032947920120744,37.52316505939483
C4,3,50528.61251243468,14.035725697898522,37.48038728161705
C4,3,50529.812189655044,14.036058941570845,37.49730219029937
C4,3,50659.812189655044,14.072170052681956,37.30119107918826
C4,3,50808.97675512832,14.113604654202312,37.10507996807714
C4,3,51013.314423070464,14.170365117519573,36.7806355236327
C4,3,51264.68111816971,14.240189199491587,36.54174663474381
C4,3,51440.880634762,14.28913350965611,36.217302190299364
C4,3,51610.880634762,14.336355731878333,35.85007996807714
C4,3,51620.880634762,14.33913350965611,35.80730219029936
C4,3,51637.6570012,14.343793611444445,35.92591798276716
C4,3,51807.6570012,14.391015833666668,35.55869576054494
C4,3,51947.6570012,14.429904722555555,35.31980687165605
C4,3,52097.6570012,14.471571389222223,35.03814020498938
C4,3,52107.6570012,14.474349167,34.9953624272116
C4,3,52167.6570012,14.491015833666667,35.62410179689645
C4,3,52365.92962650485,14.546091562918013,35.299657352452
C4,3,52375.92962650485,14.548869340695791,35.25687957467422
C4,3,52435.92962650485,14.565536007362457,36.05535381179278
C4,3,52445.92962650485,14.568313785140235,36.012576034015
C4,3,52461.609077427245,14.572669188174235,36.221236660909994
C4,3,52776.5374207052,14.660149283529222,35.98234777202111
C4,3,52786.5374207052,14.662927061307,35.93956999424333
C4,3,52795.8514563748,14.665514293437445,36.03717167617879
C4,3,52805.8514563748,14.668292071215223,35.99439389840101
C4,3,52865.8514563748,14.684958737881889,36.944393898401
C4,3,52875.8514563748,14.687736515659667,36.901616120623224
C4,3,52935.8514563748,14.704403182326335,37.85161612062323
C4,3,53224.09247517766,14.784470131993794,37.52717167617878
C4,3,53394.09247517766,14.831692354216017,37.15994945395656
C4,3,53404.09247517766,14.834470131993795,37.11717167617878
C4,3,53409.716306900926,14.836032307472479,37.19646517148652
C4,3,53549.716306900926,14.874921196361369,36.957576282597635
C4,3,53559.716306900926,14.877698974139147,36.914798504819856
C4,3,53559.716306900926,14.877698974139147,36.914798504819856
C4,3,53689.716306900926,14.913810085250256,36.71868739370874
C4,3,53839.716306900926,14.955476751916924,36.437020727042075
C4,3,53979.716306900926,14.994365640805812,36.19813183815319
C4,3,54139.716306900926,15.038810085250256,35.87368739370874
C4,3,54269.716306900926,15.074921196361368,35.67757628259763
C4,3,54419.716306900926,15.116587863028036,35.39590961593096
C4,3,54589.716306900926,15.163810085250256,35.028687393708736
C4,3,54749.716306900926,15.2082545296947,34.70424294926429
C4,3,54889.716306900926,15.24714341858359,34.465354060375404
C4,3,55019.716306900926,15.283254529694702,34.26924294926429
C4,3,55159.716306900926,15.32214341858359,34.0303540603754
C4,3,55329.716306900926,15.369365640805812,33.66313183815318
C4,3,55469.716306900926,15.408254529694702,33.42424294926429
C4,3,55619.716306900926,15.449921196361368,33.14257628259762
C4,3,55749.716306900926,15.48603230747248,32.94646517148651
C4,3,55759.716306900926,15.488810085250257,32.90368739370872
C4,3,55759.716306900926,15.488810085250257,32.90368739370872
C4,3,55769.716306900926,15.491587863028036,32.86090961593094
C4,3,55829.716306900926,15.508254529694701,33.810909615930946
C4,3,56039.49963747566,15.566527677076571,33.4864651714865
C4,3,56396.92796083586,15.665813322454406,33.119242949264276
C4,3,56733.24686021424,15.7592352389484,32.79479850481983
C4,3,56996.06771872059,15.83224103297794,32.427576282597606
C4,3,57166.09328333784,15.879470356482733,32.10313183815317
C4,3,57389.08003989855,15.941411122194042,31.821465171486494
C4,3,57399.08003989855,15.94418889997182,31.778687393708715
C4,3,57399.08003989855,15.94418889997182,31.778687393708715
C4,3,57569.08003989855,15.991411122194043,31.41146517148649
C4,3,57815.20872814193,16.059780202261646,31.08702072704205
C4,3,57986.937167345284,16.1074825464848,30.719798504819824
C4,3,58037.83962540734,16.121622118168705,30.67702072704204
C4,3,58041.47867520711,16.122632965335306,30.734639015538413
C4,3,58051.47867520711,16.125410743113086,30.69186123776063
C4,3,58076.59313835091,16.132386982875254,31.026082101083762
C4,3,58086.59313835091,16.13516476065303,30.983304323305983
C4,3,58104.157087191685,16.140043635331022,31.261400179951604
C4,3,58114.157087191685,16.142821413108802,31.218622402173825
C4,3,58122.74117250366,16.145205881251016,31.308574941980012
C4,3,58292.74117250366,16.192428103473237,30.941352719757788
C4,3,58452.74117250366,16.236872547917685,30.616908275313342
C4,3,58462.74117250366,16.23965032569546,30.574130497535563
C4,3,58462.74785635354,16.239652182320427,30.5742363251587
C4,3,58612.74785635354,16.281318848987095,30.29256965849203
C4,3,58782.74785635354,16.328541071209315,29.925347436269806
C4,3,58952.74785635354,16.37576329343154,29.558125214047582
C4,3,58962.74785635354,16.378541071209316,29.5153474362698
C4,3,59022.74785635354,16.39520773787598,30.4153474362698
C4,3,59053.50883562798,16.403752454341106,30.372569658492022
C4,3,59067.95944733314,16.407766513148093,30.576316777506452
C4,3,59077.95944733314,16.410544290925873,30.53353899972867
C4,3,59080.87789748333,16.41135497152315,30.577315751981597
C4,3,59090.87789748333,16.414132749300926,30.53453797420382
C4,3,59090.87789748333,16.414132749300926,30.53453797420382
C4,3,59100.87789748333,16.416910527078702,30.49176019642604
C4,3,59100.87789748333,16.416910527078702,30.49176019642604
C4,3,59270.87789748333,16.464132749300926,30.124537974203815
C4,3,59466.91066131769,16.51858629481047,29.75731575198159
C4,3,59616.91066131769,16.560252961477136,29.47564908531492
C4,3,59785.31193370109,16.607031092694747,29.236760196426033
C4,3,59795.31193370109,16.609808870472524,29.19398241864825
C4,3,59800.354601917454,16.611209611643737,29.254051721750923
C4,3,59950.354601917454,16.652876278310405,28.972385055084253
C4,3,60004.988073109955,16.668052242530543,28.929607277306474
C4,3,60041.24352497608,16.678123201382245,29.30952777653894
C4,3,60051.24352497608,16.680900979160022,29.26674999876116
C4,3,60053.48448922546,16.681523469229294,29.296572535751725
C4,3,60063.48448922546,16.684301247007074,29.253794757973946
C4,3,60063.48448922546,16.684301247007074,29.253794757973946
C4,3,60203.48448922546,16.723190135895962,29.014905869085055
C4,3,60213.48448922546,16.72596791367374,28.972128091307276
C4,3,60221.96881399947,16.72832467055541,29.106463233562373
C4,3,60231.96881399947,16.731102448333186,29.063685455784594
C4,3,60231.96881399947,16.731102448333186,29.063685455784594
C4,3,60381.96881399947,16.772769114999853,28.782018789117924
C4,3,60512.64673345452,16.8090685370707,28.585907678006812
C4,3,60663.27479977511,16.850909666604196,28.54312990022903
C4,3,60665.690932941,16.851580814705834,28.581385342022298
C4,3,60675.690932941,16.85435859248361,28.53860756424452
C4,3,60735.690932941,16.871025259150276,29.488607564244518
C4,3,60745.690932941,16.873803036928056,29.44582978646674
C4,3,60805.690932941,16.89046970359472,30.395829786466738
C4,3,60815.690932941,16.893247481372498,30.35305200868896
C4,3,60831.540613710175,16.89765017047505,30.604005287534264
C4,3,60841.540613710175,16.900427948252826,30.561227509756485
C4,3,60853.05771670858,16.903627143530162,30.74358164056456
