lambda_soc,lambda_task,lambda_kpi,effective_soc_shortage_coefficient,effective_soc_risk_coefficient,effective_task_scale,effective_kpi_risk_coefficient,mean_delay,mean_delay_std,urgent_on_time_rate,urgent_on_time_std,completion_rate,wpt_loss_kwh,fleet_min_soc,critical_soc_event_count,safety_violation_count,mean_solver_time,max_solver_time,solver_calls,infeasible_count,simulation_failure_count
1.0,0.5,1.0,200.0,6.0,0.5,30.0,10.78857391058324,14.453357191674371,81.22833714816366,11.812097682410771,95.72565194073027,7.659664712095564,20.711042848920037,28,0,0.002940851302546355,0.06537174998084083,12939,0,0
1.0,0.5,2.0,200.0,6.0,0.5,60.0,10.832787633751632,14.859860630050745,80.57904038267819,12.75845621683577,96.10966549161262,7.629273473539439,20.852950110210237,28,0,0.0028035335140838154,0.07846395898377523,12857,0,0
1.0,1.0,0.5,200.0,6.0,1.0,15.0,10.827701919619772,14.196625582609576,81.3293255470827,12.17664368155198,95.7505808159359,7.344719590553697,20.393165000930686,32,0,0.0031811586845633026,0.06286516698310152,12974,0,0
1.0,1.0,1.0,200.0,6.0,1.0,30.0,10.834479399539926,14.45450387378544,81.22833714816366,11.812097682410771,95.70719324206854,7.6744075369502625,20.70572738938962,28,0,0.0029160563827921194,0.055462416959926486,12934,0,0
1.0,1.0,2.0,200.0,6.0,1.0,60.0,10.832787633751632,14.859860630050745,80.57904038267819,12.75845621683577,96.10966549161262,7.629273473539439,20.852950110210237,28,0,0.0028066426677002348,0.038326250039972365,12857,0,0
1.0,2.0,0.5,200.0,6.0,2.0,15.0,11.122970898658664,14.354278962034376,81.2064754242326,12.147027471903497,95.63893559463857,7.4039634945063195,20.385413609209238,32,0,0.0031781527726481703,0.06106308399466798,12950,0,0
1.0,2.0,1.0,200.0,6.0,2.0,30.0,10.9023732464594,14.760095862632456,81.64279683035788,11.883255057832738,95.74180257510761,7.304654639539469,20.772866853345395,26,0,0.0029708627417430566,0.07728112500626594,13015,0,0
1.0,2.0,2.0,200.0,6.0,2.0,60.0,10.832787633751632,14.859860630050745,80.57904038267819,12.75845621683577,96.10966549161262,7.629039935006185,20.84533995931641,28,0,0.0028404157920931252,0.06462670798646286,12857,0,0
2.0,0.5,0.5,400.0,12.0,0.5,15.0,10.953029044974832,14.33028657034515,81.14711264175767,11.947843437521747,95.68605145580264,7.576255520828593,20.296091841362887,35,0,0.0032545961333846074,0.08160316699650139,12927,0,0
2.0,0.5,1.0,400.0,12.0,0.5,30.0,10.78754496122734,14.928236159545335,81.76816695572802,11.995977392055046,95.83693887127019,7.339415565173217,20.80721160965053,29,0,0.0030530470914100277,0.0800917919841595,13041,0,0
2.0,0.5,2.0,400.0,12.0,0.5,60.0,11.138231150985138,14.53318709556931,80.23758004121783,12.634229178822213,95.84482018116196,7.673926708455953,20.892043154255173,29,0,0.0029661220467054,0.08241558400914073,12804,0,0
2.0,1.0,0.5,400.0,12.0,1.0,15.0,10.953029044974832,14.33028657034515,81.14711264175767,11.947843437521747,95.68605145580264,7.5768457522096,20.189418157681047,35,0,0.003374441354261552,0.08034920901991427,12927,0,0
2.0,1.0,1.0,400.0,12.0,1.0,30.0,10.956191280481068,14.844419944410207,81.59617678373783,11.929041433723631,95.73788226749659,7.417058232610378,20.734677936059676,30,0,0.003114588981376936,0.07535258401185274,13005,0,0
2.0,1.0,2.0,400.0,12.0,1.0,60.0,10.845738815679244,13.910910663615292,80.12210660010928,12.87509346177311,95.96365016288043,7.670821655083036,20.894110269907273,29,0,0.0029121631541233475,0.061797540984116495,12793,0,0
2.0,2.0,0.5,400.0,12.0,2.0,15.0,10.966939982844485,14.444497255790154,81.19625269089772,11.964260382883818,95.68674582285705,7.500744367523096,20.2167595446599,36,0,0.003094270739660495,0.028597415948752314,12934,0,0
2.0,2.0,1.0,400.0,12.0,2.0,30.0,11.046058198527962,15.043488441399546,81.61927147195955,11.875335643838465,95.71503034793535,7.41751869920945,20.748201858936167,30,0,0.002837125105096672,0.029198375006671995,13006,0,0
2.0,2.0,2.0,400.0,12.0,2.0,60.0,10.43608547917631,14.178728814495226,80.46608694408962,13.071997781203569,96.30816337728552,7.636219096591823,20.89851555338086,28,0,0.0026907225694823996,0.03519120899727568,12860,0,0
