scenario,strategy,replication,pad_id,utilization,sessions,wait_min,input_kwh,delivered_kwh
v3_primary_challenge,C4,1047,1,39.669527902832016,1425,0.0,28.562060090039182,23.129294527594393
v3_primary_challenge,C5,1047,1,39.669527902832016,1425,0.0,28.562060090039182,23.02831935839932
v3_primary_challenge,C1,1048,1,49.76897300649142,14,177.06657519084916,35.83366056467382,28.15662323348952
v3_primary_challenge,C2,1048,1,60.4751958236151,1090,80.08148305071687,43.54214099300296,35.414645203895795
v3_primary_challenge,C3,1048,1,39.821276717453074,1417,0.0,28.6713192365663,22.862740786230372
v3_primary_challenge,C4,1048,1,63.92182927624557,1295,400.4109884643978,46.023717078896894,38.77345656682308
v3_primary_challenge,C5,1048,1,63.439589398203445,1295,370.68995328810684,45.67650436670656,38.67915101126744
v3_primary_challenge,C1,1049,1,62.161883380121,15,452.91763000668595,44.75655603368711,30.135015290606116
v3_primary_challenge,C2,1049,1,58.63253738548634,898,238.32703721998308,42.21542691755023,32.190784612652045
v3_primary_challenge,C3,1049,1,65.15111133517158,1328,824.822621747653,46.90880016132364,38.7577097350507
v3_primary_challenge,C4,1049,1,60.52715715658372,1112,539.2588771418644,43.579553152740345,35.630043068384026
v3_primary_challenge,C5,1049,1,58.13666426580855,977,414.5223454366717,41.858398271382214,33.415265290606236
v3_primary_challenge,C1,1050,1,47.12102572899122,14,90.96784417343333,33.92713852487368,28.128220693321737
v3_primary_challenge,C2,1050,1,55.14560209418313,1117,223.96886130058581,39.70483350781195,31.773283513013567
v3_primary_challenge,C3,1050,1,40.17064670995819,1432,1.1842378929335003e-16,28.922865631170026,23.065238327107465
v3_primary_challenge,C4,1050,1,58.68271186023814,1134,169.8644066267266,42.251552539371545,35.54213735998859
v3_primary_challenge,C5,1050,1,71.26759978039591,1253,570.4699751155985,51.312671841885155,37.650137359988626
v3_primary_challenge,C1,1051,1,56.00877890453644,15,348.04437850828856,40.32632081126624,30.098878344758756
v3_primary_challenge,C2,1051,1,56.03936052078603,890,90.7193021825351,40.348339574966005,31.954271264226904
v3_primary_challenge,C3,1051,1,63.488578438533814,1193,839.2523480178187,45.711776475744465,36.87421167809227
v3_primary_challenge,C4,1051,1,56.92151051739225,1068,365.79464000424974,40.98348757252252,34.79217369424066
v3_primary_challenge,C5,1051,1,62.706413224970305,1184,739.0718944824063,45.14861752197874,36.741045011425584
v3_primary_challenge,C1,1052,1,50.15272096981111,14,89.77227965577445,36.109959098264,28.1466709541153
v3_primary_challenge,C2,1052,1,50.76203425715757,886,273.08450970936116,36.54866466515349,31.061173747881526
v3_primary_challenge,C3,1052,1,69.1086759782935,1208,971.3825220439988,49.75824670437139,36.409837620782156
v3_primary_challenge,C4,1052,1,58.261341019414594,1012,644.3573443440995,41.94816553397855,33.35311539855989
v3_primary_challenge,C5,1052,1,60.550782883398256,1217,709.0550060044291,43.59656367604681,36.75514317633773
v3_primary_challenge,C1,1053,1,43.47578811977906,13,137.5009972817561,31.30256744624092,26.108695095683675
v3_primary_challenge,C2,1053,1,48.83697201945965,1207,60.78547521286722,35.162619854010956,29.84556689472294
v3_primary_challenge,C3,1053,1,39.619541607208255,1443,0.0,28.52606995719006,22.95291709142808
v3_primary_challenge,C4,1053,1,39.619541607208255,1443,0.0,28.52606995719006,23.11765106116134
v3_primary_challenge,C5,1053,1,39.619541607208255,1443,0.0,28.526069957190064,22.752928661336423
v3_primary_challenge,C1,1054,1,43.78405639924608,13,128.675839783013,31.524520607457177,26.112240091964065
v3_primary_challenge,C2,1054,1,53.76124275548484,1178,0.06271649811290748,38.70809478394918,30.530273388926943
v3_primary_challenge,C3,1054,1,42.78015229113105,1471,0.0,30.801709649614484,24.55284509004676
v3_primary_challenge,C4,1054,1,42.78015229113105,1471,0.0,30.801709649614484,25.090810050240368
v3_primary_challenge,C5,1054,1,42.78015229113105,1471,0.0,30.801709649614484,25.065775086141855
v3_primary_challenge,C1,1055,1,60.079205697780516,15,231.26005685275422,43.257028102401975,30.122430200671253
v3_primary_challenge,C2,1055,1,55.11561418701743,927,250.46595158076514,39.68324221465251,32.408225124669606
v3_primary_challenge,C3,1055,1,41.94030953916542,1492,0.0,30.197022868199227,24.23410246546682
v3_primary_challenge,C4,1055,1,52.51781298121716,1439,50.620453264938746,37.81282534647648,30.827177656822208
v3_primary_challenge,C5,1055,1,41.94030953916542,1492,0.0,30.197022868199227,24.129268897618193
v3_primary_challenge,C1,1056,1,49.14362398899261,12,189.57111282695325,35.38340927207468,24.12628112319012
v3_primary_challenge,C2,1056,1,45.16099317629112,1405,0.0,32.51591508692969,26.528173763904892
v3_primary_challenge,C3,1056,1,43.14421183958464,1498,0.0,31.063832524501052,25.079547842667907
v3_primary_challenge,C4,1056,1,43.14421183958464,1498,0.0,31.063832524501052,24.95127210204144
v3_primary_challenge,C5,1056,1,43.14421183958464,1498,0.0,31.063832524501052,24.75228412341273
