scenario,strategy,replication,agv_id,min_soc,completed_tasks,charge_h,stops,traction_energy,delivered_kwh,detour_m
v3_primary_challenge,C1,1009,2,19.621912074630174,392,2.7501918159331944,0,4.713999999999985,7.022626618490717,20.0
v3_primary_challenge,C1,1009,3,19.78277777777769,463,3.988055216064419,0,5.493999999999981,7.014667251334656,20.0
v3_primary_challenge,C1,1009,4,19.77312588612297,403,3.242695763637893,0,4.859999999999985,7.0180937056938575,20.0
v3_primary_challenge,C1,1009,5,19.690555555555488,434,2.9313699193403617,0,5.361999999999985,7.021870080172764,20.0
v3_primary_challenge,C2,1009,1,19.806878393942817,407,2.9982581523903846,0,5.431999999999958,7.8201192013830445,2350.0
v3_primary_challenge,C2,1009,2,19.618939284849706,420,2.470880912413287,0,5.539999999999958,6.576720951805717,1960.0
v3_primary_challenge,C2,1009,3,19.75666076611181,415,3.1731132499879338,0,5.603999999999953,8.418778362445808,2870.0
v3_primary_challenge,C2,1009,4,19.736740757942943,433,2.4249717926149312,0,5.4119999999999635,5.938817565279774,1550.0
v3_primary_challenge,C2,1009,5,24.7841763223763,445,1.8977903408344994,0,5.793999999999937,4.253051118513852,2690.0
v3_primary_challenge,C3,1009,1,23.846481674859234,426,2.0776906308899368,0,5.649999999999941,5.2807232469033725,3010.0
v3_primary_challenge,C3,1009,2,23.30587857815311,427,1.8692127839483317,0,5.677999999999936,4.810132813239976,2880.0
v3_primary_challenge,C3,1009,3,21.628866674074562,424,2.069784526709459,0,5.693999999999941,5.221888498354248,2880.0
v3_primary_challenge,C3,1009,4,22.09076593792624,419,2.1447577163814446,0,5.711999999999945,4.865578014480266,3350.0
v3_primary_challenge,C3,1009,5,23.518855262022853,424,1.8538202005356303,0,5.67999999999994,4.073360821004068,2460.0
v3_primary_challenge,C4,1009,1,20.200332311570275,431,2.0400399171853,0,5.849999999999939,5.220265922498417,2960.0
v3_primary_challenge,C4,1009,2,23.011773048517973,436,1.9096607801452854,0,5.741999999999948,4.84596527091666,2720.0
v3_primary_challenge,C4,1009,3,19.82573635792241,419,3.4135777661796656,0,5.69599999999994,8.522167251334704,2980.0
v3_primary_challenge,C4,1009,4,19.938996463656373,411,3.2706307230995533,0,5.355999999999938,7.80562148347167,2830.0
v3_primary_challenge,C4,1009,5,19.954378886566477,423,4.450824647642758,0,5.655999999999949,7.3246756357283616,2520.0
v3_primary_challenge,C5,1009,1,17.82706917227762,428,2.05206226227394,0,5.745999999999931,5.21237511798065,3040.0
v3_primary_challenge,C5,1009,2,26.754322638585815,422,1.9923516422610268,0,5.759999999999945,5.089038090419474,2880.0
v3_primary_challenge,C5,1009,3,18.457886230029736,417,2.012989752359697,0,5.659999999999942,5.102503650066672,3050.0
v3_primary_challenge,C5,1009,4,27.550755704888,421,2.1881182042204403,0,5.579999999999943,4.949298157604959,2920.0
v3_primary_challenge,C5,1009,5,19.605413517633902,432,1.7697439973496991,0,5.667999999999941,3.882476539454939,2690.0
v3_primary_challenge,C1,1010,1,19.764999999999848,437,2.4615440226128227,0,5.291999999999978,7.015400464446543,20.0
v3_primary_challenge,C1,1010,2,19.608333333333224,433,2.850035125511932,0,5.189999999999979,7.024652514255856,20.0
v3_primary_challenge,C1,1010,3,19.931413104514828,433,1.281855834720505,0,5.249999999999978,3.5034293447742586,10.0
v3_primary_challenge,C1,1010,4,19.933975466663963,411,1.2975189728395562,0,4.927999999999983,3.5033012266668018,10.0
v3_primary_challenge,C1,1010,5,19.86499999999993,448,3.3230667337065505,0,5.363999999999978,7.013465135725911,20.0
v3_primary_challenge,C2,1010,1,31.65283037440877,455,2.3609782100842476,0,6.123999999999936,6.058180872055918,3390.0
v3_primary_challenge,C2,1010,2,19.82991609588879,437,3.0499317025839057,0,5.791999999999931,7.918402514255903,2850.0
v3_primary_challenge,C2,1010,3,19.839849545726146,410,4.055998492460663,0,5.369999999999949,6.730401566996514,2280.0
v3_primary_challenge,C2,1010,4,21.307639886293966,459,1.8596055833937906,0,6.0859999999999275,4.175572109870431,2770.0
v3_primary_challenge,C2,1010,5,19.845052708815704,401,3.2029364139096663,0,5.393999999999954,6.982520691281492,2500.0
v3_primary_challenge,C3,1010,1,30.047286454813165,429,2.2351911821184087,0,5.96399999999993,5.774292564965033,3710.0
v3_primary_challenge,C3,1010,2,29.84075768665553,432,2.0120989950035923,0,5.805999999999939,4.937523731922014,3000.0
v3_primary_challenge,C3,1010,3,30.202842152524127,434,1.7795313985788748,0,5.857999999999931,4.440932563511621,2880.0
v3_primary_challenge,C3,1010,4,30.754786815118244,433,1.8317556359475462,0,5.675999999999938,4.181853274749241,2490.0
v3_primary_challenge,C3,1010,5,31.227787901546893,434,2.0057035368827987,0,5.733999999999929,4.47146456108283,3070.0
v3_primary_challenge,C4,1010,1,37.46965087967587,428,2.327378590844848,0,5.8639999999999235,6.037216341763721,3440.0
v3_primary_challenge,C4,1010,2,33.01812198876977,433,2.0179706677078086,0,5.777999999999931,5.07710760695841,3190.0
v3_primary_challenge,C4,1010,3,29.661697036028578,432,1.8479626913314202,0,5.811999999999934,4.502413795857519,2940.0
v3_primary_challenge,C4,1010,4,28.613265798803756,435,1.8477077031452027,0,5.779999999999941,4.311133442453085,2600.0
v3_primary_challenge,C4,1010,5,23.24786229902225,434,1.823261095501941,0,5.803999999999934,4.139641247994692,2980.0
v3_primary_challenge,C5,1010,1,18.197369451995087,436,1.9879810443391503,0,5.841999999999938,5.0721552539687105,2780.0
v3_primary_challenge,C5,1010,2,27.76004823983848,435,1.9685426398150345,0,5.789999999999936,4.820127148470054,3000.0
v3_primary_challenge,C5,1010,3,32.576691187826285,434,1.8519976209417615,0,5.8259999999999295,4.529941194890727,3130.0
v3_primary_challenge,C5,1010,4,40.35423362396498,428,2.019860920939636,0,5.741999999999934,4.721262907865092,3020.0
v3_primary_challenge,C5,1010,5,26.809867151475288,429,2.035898522495643,0,5.83799999999993,4.385498805760236,3220.0
v3_primary_challenge,C1,1011,1,19.754444444444328,405,2.5823182356272083,0,4.907999999999984,7.01478496169658,20.0
v3_primary_challenge,C1,1011,2,19.836372731948455,426,3.016445561896361,0,4.993999999999979,7.012098030069254,20.0
v3_primary_challenge,C1,1011,3,19.640555555555466,424,2.615916494099882,0,5.205999999999984,7.0227664646856915,20.0
v3_primary_challenge,C1,1011,4,19.786666666666534,492,4.139357323806439,0,5.943999999999977,7.018247084323066,20.0
v3_primary_challenge,C1,1011,5,19.644249908166145,454,3.1040062681391567,0,5.46599999999998,7.024537504591704,20.0
v3_primary_challenge,C2,1011,1,19.73445428171543,437,2.190985685238465,0,5.523999999999965,6.029398016586825,1670.0
v3_primary_challenge,C2,1011,2,19.91306098373619,468,1.7632917658004605,0,5.823999999999965,4.849724893081116,1050.0
v3_primary_challenge,C2,1011,3,19.816121062797613,445,2.8402885156752684,0,5.825999999999954,6.871689184316958,2080.0
v3_primary_challenge,C2,1011,4,19.621536832530744,432,3.078641042826327,0,5.7259999999999565,7.750077221545022,2570.0
v3_primary_challenge,C2,1011,5,19.75062027469955,419,2.9045043893469624,0,5.469999999999956,6.746116575082576,1990.0
v3_primary_challenge,C3,1011,1,19.89823221440613,437,2.695965482113091,0,5.743999999999951,7.101701628363271,2150.0
v3_primary_challenge,C3,1011,2,19.82100621013037,511,2.457101449579956,0,6.481999999999952,6.592736918958163,1820.0
v3_primary_challenge,C3,1011,3,19.914390255813533,469,3.0061259565826246,0,6.149999999999946,7.247849798019055,2460.0
v3_primary_challenge,C3,1011,4,19.818353600947766,378,3.2463672801996046,0,5.057999999999948,7.532469306545329,2550.0
v3_primary_challenge,C3,1011,5,19.74068383530727,406,3.0176328732882394,0,5.333999999999952,7.36298194903617,2370.0
v3_primary_challenge,C4,1011,1,19.925521876857136,408,2.392301986551591,0,5.213999999999973,6.281340517252151,1420.0
v3_primary_challenge,C4,1011,2,19.682528881257475,438,2.104669637957719,0,5.45799999999997,5.335764696735927,1090.0
v3_primary_challenge,C4,1011,3,19.680857055407124,428,2.4263349116166295,0,5.631999999999963,6.420683131352387,1950.0
v3_primary_challenge,C4,1011,4,19.65837570637193,458,2.7040866662508907,0,5.75599999999996,5.945191528767529,1480.0
v3_primary_challenge,C4,1011,5,19.711778003944104,469,2.409571333549782,0,5.9239999999999675,5.556954171258381,1490.0
v3_primary_challenge,C5,1011,1,8.35968072671725,450,1.6891590345622027,0,5.8539999999999495,4.314824553588013,2310.0
v3_primary_challenge,C5,1011,2,6.329701527456068,443,1.6599579760711054,0,5.977999999999932,4.037835413150978,2830.0
v3_primary_challenge,C5,1011,3,8.777399090650343,447,1.7539750814127089,0,5.761999999999945,4.340858641440466,2540.0
v3_primary_challenge,C5,1011,4,8.253235274451695,432,1.9664484125927417,0,5.811999999999937,4.558326083128233,2940.0
v3_primary_challenge,C5,1011,5,8.22530286951614,429,2.019513975878152,0,5.85599999999993,4.555969314734183,3200.0
v3_primary_challenge,C1,1012,1,19.90777777777766,430,2.6631515759865003,0,5.195999999999979,7.009130386205165,20.0
v3_primary_challenge,C1,1012,2,19.706622753561874,441,2.5164068136034015,0,5.2839999999999785,7.021418862321914,20.0
