scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls
v3_primary_challenge,C2,1034,2097,2080,86.66666666666667,99.18931807343824,1.608733391631568,174.47083987846491,0.8739830688311824,14.918414918414925,7.194244604316546,85.08158508158508,0.3069768616404474,32.052371177307215,0,13290.0,28.139999999999716,4.575416666666682,39.788329809438906,31.906662475497114,7.881667333941818,80.19100733383375,19.730972079486794,21.38051025974482,10.526152215752289,55.261569179776295,2.0,4,160.26185588653607,655,42.44274809160306,308,1329,,,0.0,0
v3_primary_challenge,C3,1034,2097,2095,87.29166666666667,99.90462565569862,0.4408793251336665,6.33554474619929,0.024174902971456365,10.023310023310028,0.2997601918465209,89.97668997668997,0.33374795737383767,0.0,0,14840.0,28.449999999999683,4.596944444444462,30.15073534541841,24.21186967893971,5.938865666478738,80.30275017030009,28.52375050300352,24.21186967893971,0.0,41.876021313081175,2.0,4,0.0,750,58.93333333333334,342,1484,,,0.0,0
v3_primary_challenge,C4,1034,2097,2095,87.29166666666667,99.90462565569862,0.4408793251336665,6.33554474619929,0.024174902971456365,10.023310023310028,0.2997601918465209,89.97668997668997,0.33374795737383767,0.0,0,14840.0,28.449999999999683,4.596944444444462,30.15073534541842,24.772725228130568,5.378010117287884,82.16292221176266,23.898959891217913,24.772725228130568,0.0,41.876021313081175,2.0,4,0.0,750,53.06666666666666,342,1484,,,0.0,0
v3_primary_challenge,C5,1034,2097,2095,87.29166666666667,99.90462565569862,0.508532313654293,74.23431749466812,0.05861184165582057,11.421911421911425,0.3597122302158251,88.57808857808858,0.3278953582025118,0.0,0,14010.0,28.2839999999997,4.585416666666683,32.25767104709571,26.72375595302636,5.533915094069384,82.84465395536485,19.563227392839906,23.213076971969496,3.5106789810568544,44.802320898744085,2.0,4,0.0,706,37.110481586402265,321,1401,,,1.0496367826126516,1392
v3_primary_challenge,C1,1035,2222,2208,92.0,99.36993699369937,10.987675990102195,136.62595944679592,7.968646354139446,69.40639269406392,56.109865470852014,30.59360730593607,0.2735082544419016,48.396781171899555,0,140.0,26.88799999999991,4.644722222222218,39.33702840091543,28.14476231657206,11.192266084343366,71.54775909793199,29.636111111110985,0.0,28.14476231657206,54.63476166793809,0.0,0,241.98390585949775,0,0.0,0,14,0.3,0.7,0.0,0
v3_primary_challenge,C2,1035,2222,2216,92.33333333333333,99.72997299729973,10.842702016735334,197.21499303580447,8.701915089944006,48.630136986301366,37.38789237668162,51.369863013698634,0.2799188512533483,41.639513420921745,0,8240.0,28.507999999999832,4.757222222222225,37.02921354879459,30.10627334617348,6.922940202621115,81.30411224235556,19.741153987739953,12.562102895828975,17.54417045034451,51.42946326221471,2.0,4,208.19756710460874,388,34.79381443298969,190,824,,,0.0,0
v3_primary_challenge,C3,1035,2222,1965,81.875,88.43384338433843,31.04978612573066,429.06107872453555,29.595996477009813,35.15981735159818,18.77802690582959,64.84018264840182,0.26746930089654375,155.67590744229358,0,10540.0,28.967999999999783,4.7891666666666755,41.511051677244254,33.4768734276833,8.03417824956097,80.6456884975401,19.679516025808454,15.945814334176482,17.531059093506812,57.65423844061704,2.0,4,778.3795372114679,481,58.004158004158,257,1054,,,0.0,0
v3_primary_challenge,C4,1035,2222,2015,83.95833333333333,90.68406840684068,30.173069912805804,376.20818361175355,28.406178620109777,42.465753424657535,25.728699551569512,57.534246575342465,0.26951717833650807,122.91398934238377,0,9380.0,28.735999999999805,4.773055555555562,40.7738157988571,31.87837342768327,8.895442371173827,78.1834439654697,19.782197840795103,14.338633750959703,17.539739676723567,56.630299720634866,2.0,4,614.5699467119189,432,53.93518518518518,230,938,,,0.0,0
v3_primary_challenge,C5,1035,2222,2192,91.33333333333333,98.64986498649864,16.11441572112437,228.089082333577,14.026314285243753,48.401826484018265,34.02466367713004,51.598173515981735,0.2830516268963807,64.0079935673331,0,7910.0,28.441999999999833,4.7526388888888915,35.901414317302944,29.59265120546104,6.308763111841912,82.42753598483904,19.783068285239622,12.061213307031707,17.53143789842933,49.863075440698545,2.0,4,320.03996783666554,364,43.68131868131868,185,791,,,0.589866470429115,786
v3_primary_challenge,C1,1036,2208,2197,91.54166666666667,99.50181159420289,8.6470040197785,107.29498695706134,6.0151933306954914,57.63440860215054,46.471600688468165,42.365591397849464,0.282103200517439,28.97921372217866,0,150.0,26.44999999999989,4.596805555555552,37.642847813721964,30.14360514549933,7.499242668222642,80.0779082779998,29.686111111110947,0.0,30.14360514549933,52.28173307461385,0.0,0,144.8960686108933,0,0.0,0,15,0.3,0.7,0.0,0
v3_primary_challenge,C2,1036,2208,2203,91.79166666666667,99.77355072463769,2.582124836723931,119.36246556293426,1.0130321132152476,37.634408602150536,16.52323580034424,62.365591397849464,0.2781875327992946,16.225821939020825,0,9080.0,28.23599999999979,4.7208333333333385,39.052488192253946,31.490491490537224,7.5619967017167085,80.63632548971196,19.74138444791543,13.94475647977639,17.54573501076083,54.239566933686014,2.0,4,81.12910969510412,432,35.41666666666667,197,908,,,0.0,0
v3_primary_challenge,C3,1036,2208,1900,79.16666666666667,86.05072463768117,40.71088055848758,526.769427722024,39.33185144101113,34.83870967741935,19.965576592082613,65.16129032258064,0.25403561265700486,199.67050177458665,0,10900.0,28.599999999999753,4.746111111111125,47.74717944347826,34.225494034388326,13.521685409089944,71.68066141980907,19.523767832432558,16.680253747249026,17.545240287139293,66.31552700483093,2.0,4,998.3525088729332,513,60.42884990253411,259,1090,,,0.0,0
v3_primary_challenge,C4,1036,2208,1888,78.66666666666667,85.5072463768116,49.739549197835316,438.7915909704579,48.04946631218157,42.58064516129032,26.04704532415376,57.41935483870968,0.26501029369633217,175.479031730863,0,9430.0,28.305999999999784,4.725694444444452,43.79629426932042,31.939244034388317,11.857050234932107,72.92681850656474,19.623405785532142,14.384392214132575,17.55485182025574,60.828186485167265,2.0,4,877.395158654315,441,53.51473922902494,226,943,,,0.0,0
v3_primary_challenge,C5,1036,2208,2127,88.625,96.33152173913044,23.387530335924676,266.6618294853945,21.263231658185145,54.623655913978496,36.603557085484795,45.376344086021504,0.26299883132672475,81.80535278168917,0,7580.0,27.93599999999983,4.700000000000001,44.52042072237906,32.63813292327716,11.882287799101906,73.31047729041556,19.58400499612506,11.576841383319772,21.061291539957388,61.83391766997093,2.0,4,409.02676390844584,352,44.31818181818182,173,758,,,0.5687341224984266,749
v3_primary_challenge,C1,1037,2115,2101,87.54166666666667,99.33806146572104,10.427901191927639,166.03551809923664,8.434702545232,43.80952380952381,32.8023598820059,56.19047619047619,0.32146614384776157,46.09558652934718,0,140.0,25.387999999999906,4.406805555555553,32.77218821480583,28.142882310265417,4.629305904540416,85.87428500593994,29.646666666666555,0.0,28.142882310265417,45.516928076119214,0.0,0,230.4779326467359,0,0.0,0,14,0.3,0.7,0.0,0
v3_primary_challenge,C2,1037,2115,2107,87.79166666666667,99.62174940898345,0.5305839525971662,87.91854158791297,0.087142189810223,11.190476190476195,0.1769911504424737,88.80952380952381,0.3113936477637485,0.0,0,13890.0,28.13799999999971,4.597777777777792,36.39828680505054,29.787973191937272,6.610313613113288,81.83894300158096,19.80262302744214,22.77502783188706,7.0129453600502085,50.553176118125776,2.0,4,0.0,674,40.94955489614243,267,1389,,,0.0,0
v3_primary_challenge,C3,1037,2115,2112,88.0,99.8581560283688,0.3998504082185883,5.558017431469974,0.011640114323159926,9.999999999999998,0.05899705014749124,90.0,0.3276314430780319,0.0,0,15030.0,28.365999999999687,4.613611111111129,30.552680491908497,24.654342692653607,5.898337799254922,80.69453251142075,28.95020993604141,24.654342692653607,0.0,42.43427846098407,2.0,4,0.0,736,57.33695652173913,296,1503,,,0.0,0
v3_primary_challenge,C4,1037,2115,2112,88.0,99.8581560283688,0.3998504082185883,5.558017431469974,0.011640114323159926,9.999999999999998,0.05899705014749124,90.0,0.32763144307803194,0.0,0,15030.0,28.365999999999683,4.613611111111128,30.552680491908504,24.96844274917879,5.584237742729745,81.72259306606952,20.184841288714466,24.96844274917879,0.0,42.43427846098407,2.0,4,0.0,736,55.29891304347826,296,1503,,,0.0,0
v3_primary_challenge,C5,1037,2115,2107,87.79166666666667,99.62174940898345,0.5395731425482211,112.31703443345128,0.10226857743085507,11.190476190476195,0.1769911504424737,88.80952380952381,0.30893119854212414,0.0,0,13560.0,28.07199999999972,4.593194444444459,37.284768524835314,29.319482927091226,7.965285597744106,78.63662317646299,19.6434414177535,22.288837752745795,7.03064517434543,51.78440072893795,2.0,4,0.0,663,52.79034690799397,262,1356,,,1.023485089361202,1353
v3_primary_challenge,C1,1038,2192,2186,91.08333333333333,99.72627737226277,12.712428753431881,186.30435586455891,9.76274996691424,65.40284360189574,50.847457627118644,34.59715639810427,0.27780352396842173,77.56941763841384,0,150.0,26.419999999999902,4.574722222222218,40.79073137136816,30.15883930195373,10.631892069414429,73.93551987921165,29.60055555555541,0.0,30.15883930195373,56.65379357134467,0.0,0,387.8470881920692,0,0.0,0,15,0.3,0.7,0.0,0
v3_primary_challenge,C2,1038,2192,2186,91.08333333333333,99.72627737226277,5.484814079957974,190.63045572914828,3.8427425643984225,37.91469194312796,26.4406779661017,62.08530805687204,0.27956605473052787,21.52810620392651,0,9200.0,28.229999999999812,4.700416666666673,40.156220297009945,32.01148274852274,8.144737548487198,79.71737009049711,19.722768693288575,14.453372146120667,17.558110602402074,55.772528190291595,2.0,4,107.64053101963255,433,44.80369515011547,203,920,,,0.0,0
v3_primary_challenge,C3,1038,2192,1972,82.16666666666667,89.96350364963503,20.82643015989348,408.55671963387357,19.82329448056722,23.222748815165872,12.372881355932208,76.77725118483413,0.26534256339862167,159.77558877678555,0,12220.0,28.833999999999744,4.742361111111125,45.276677176496165,37.2288393019539,8.047837874542267,82.2252020766223,19.659440231006172,19.67653607023476,17.552303231719133,62.88427385624469,2.0,4,798.8779438839277,561,57.39750445632799,282,1222,,,0.0,0
v3_primary_challenge,C4,1038,2192,1981,82.54166666666667,90.37408759124088,20.768757745836282,341.3860392399899,19.56314198072744,25.355450236966824,17.231638418079097,74.64454976303317,0.2731232516181573,117.72227447154141,0,11510.0,28.69199999999976,4.7325000000000115,42.47562941746337,35.973311524176104,6.502317893287268,84.6916502887326,19.720405474573706,18.422840928136917,17.550470596039187,58.993929746476915,2.0,4,588.6113723577071,539,56.58627087198516,265,1151,,,0.0,0
v3_primary_challenge,C5,1038,2192,1937,80.70833333333333,88.36678832116789,28.066728464666358,432.9294435274324,26.774082928156858,26.777251184834128,18.305084745762713,73.22274881516587,0.25824965106571873,158.41966464876066,0,11240.0,28.637999999999767,4.728750000000012,47.830125616341235,35.654394857509445,12.175730758831797,74.54380350890834,19.797418687495018,18.126169863343247,17.528224994166198,66.43073002269617,2.0,4,792.0983232438033,529,54.44234404536862,257,1124,,,0.8549530518357642,1115
v3_primary_challenge,C1,1039,2106,2084,86.83333333333333,98.95536562203229,9.703869682478775,182.13561581892523,7.590360428810596,48.37092731829574,33.391915641476274,51.62907268170426,0.32512811290820964,45.736710726655936,0,130.0,25.57399999999991,4.408472222222219,32.35387935304454,26.124679836234325,6.229199516810216,80.74666889606226,29.682943638232917,0.0,26.124679836234325,44.9359435458952,0.0,0,228.68355363327967,0,0.0,0,13,0.3,0.7,0.0,0
v3_primary_challenge,C2,1039,2106,2102,87.58333333333333,99.81006647673314,0.6056458027261692,79.7472060176117,0.06368227443770826,16.79197994987469,0.05858230814294041,83.20802005012531,0.3221398099849753,0.0,0,14150.0,28.37799999999971,4.603194444444461,33.42966840540883,26.94270975421415,6.486958651194715,80.5952049164056,19.811426507735494,23.433281079600924,3.509428674613225,46.430095007512314,2.0,4,0.0,728,46.97802197802198,280,1415,,,0.0,0
v3_primary_challenge,C3,1039,2106,2103,87.625,99.85754985754986,0.5394842832250851,4.42974716797183,0.027558257163463933,16.29072681704261,0.0,83.70927318295739,0.3304453595206329,0.0,0,14550.0,28.457999999999696,4.608750000000017,30.439670572572098,24.255607538340797,6.184063034231334,79.68419855435788,33.0252832763361,24.255607538340797,0.0,42.27732023968352,2.0,4,0.0,753,59.8937583001328,288,1455,,,0.0,0
v3_primary_challenge,C4,1039,2106,2103,87.625,99.85754985754986,0.5394842832250851,4.42974716797183,0.027558257163463933,16.29072681704261,0.0,83.70927318295739,0.3304453595206329,0.0,0,14550.0,28.4579999999997,4.608750000000017,30.439670572572105,24.74927955040039,5.690391022171744,81.30600326765992,24.21061890801932,24.74927955040039,0.0,42.27732023968352,2.0,4,0.0,753,53.917662682602916,288,1455,,,0.0,0
v3_primary_challenge,C5,1039,2106,2103,87.625,99.85754985754986,0.5925897060524906,111.84002047451577,0.07805209404595005,16.29072681704261,0.05858230814294041,83.70927318295739,0.31493517149176503,0.0,0,14560.0,28.459999999999702,4.608888888888906,36.02333826296456,28.258339590422906,7.7649986725416795,78.44453333042482,19.786565916260525,24.74766788623593,3.510671704186974,50.0324142541175,2.0,4,0.0,753,53.38645418326693,288,1456,,,1.1057461875025183,1454
