scenario,strategy,replication,requested_tasks,completed_tasks,throughput,completion_rate,mean_delay,max_delay,mean_tardiness,urgent_deadline_violation_rate,normal_deadline_violation_rate,urgent_on_time_rate,idle_ratio,charging_wait,low_soc_stops,detour_distance_m,traction_energy,aux_energy,wpt_input_energy,battery_delivered_energy,wpt_loss,mean_efficiency,fleet_min_soc,opportunity_charging_energy,mandatory_charging_energy,pad_utilization,mean_queue,max_queue,pad_waiting_time,charging_contention_events,different_decision_rate_C4_vs_C3,deferred_charging_requests,charging_sessions,c1_start_soc,c1_target_soc,solver_computation_time_s,solver_calls,solver_mean_time_s,solver_median_time_s,solver_p95_time_s,solver_max_time_s,solver_mean_binary_variables,solver_mean_constraints,solver_mean_available_agv_slot_pairs,solver_mean_actual_busy_agv_slot_pairs,solver_mean_forecast_busy_agv_slot_pairs,solver_infeasible_calls,solver_time_limit_calls,solver_fallback_calls,solver_safety_slack_total,solver_reserve_slack_total,solver_task_slack_total,scale_id,lambda_soc,lambda_task,lambda_kpi,simulation_failure,error
stress_near_transition,C5,5028,1707,1563,65.125,91.56414762741653,16.870538655725536,597.224727674666,16.365902895740216,38.17034700315457,9.640287769784173,61.82965299684543,0.5251200855876792,255.4484348194666,0,16000.0,47.473999999999656,5.430555555555569,68.63947686380968,55.00395524377293,13.635521620036767,80.13457817125918,19.512248299947274,30.38568643129504,24.618268812477886,95.33260675529128,3.0,6,1788.1390437362663,1169,32.42087254063302,306,1600,nan,nan,7.456812958000228,1591,0.004686871752357151,0.003190171904861927,0.010984376072883606,0.035795244853943586,42.445003142677564,201.31489629164048,42.445003142677564,0.0,30.955373978629794,0,0,0,0.0,611.3622383936079,123.38533748688477,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5029,1744,1524,63.5,87.38532110091744,65.69830465102473,580.3771070485928,64.2060191672042,62.091503267973856,37.482614742698196,37.908496732026144,0.5176605432054698,275.1587425774864,0,10580.0,47.983999999999774,5.512222222222222,68.69908622444319,54.8215196539371,13.877566570506126,79.79948885321791,19.678932922308963,19.729133356765594,35.09238629717151,95.41539753394892,3.0,6,1926.1111980424046,752,33.77659574468085,196,1058,nan,nan,3.635491529246792,1048,0.003468980466838542,0.002698601922020316,0.007903375406749546,0.011339062824845314,41.66507633587786,197.93893129770993,41.66507633587786,0.0,30.595419847328245,0,0,0,0.0,211.36430140969355,49.26535537515012,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5030,1689,1504,62.666666666666664,89.04677323860273,27.834232919188572,564.4660746396482,27.101355105136516,46.285714285714285,17.550410754294255,53.714285714285715,0.5339041972880058,227.90927985906922,0,14770.0,46.99199999999969,5.374583333333346,66.01228456684504,52.98518508340855,13.027099483436528,80.26564363145916,19.385783887156727,28.347888834609353,24.63729624879919,91.6837285650626,3.0,6,1595.3649590134846,1106,25.49728752260398,252,1477,nan,nan,7.491143840365112,1470,0.00509601621793545,0.005003465455956757,0.010391491255722937,0.030951544176787138,41.1530612244898,195.61904761904762,41.1530612244898,0.0,30.40204081632653,0,0,0,0.0,309.1901052321115,68.05566090121079,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5031,1702,1575,65.625,92.53819036427731,14.090953038273323,520.6443777913694,13.563636257728984,33.670033670033675,12.099644128113884,66.32996632996633,0.5236418141651314,218.80394083652936,0,16410.0,47.23399999999967,5.407638888888899,69.88452566077373,56.01336644139644,13.871159219377326,80.15131520429966,19.348964350118944,31.39627265176775,24.617093789628687,97.06184119551912,3.0,6,1531.6275858557055,1180,24.152542372881356,283,1641,nan,nan,6.158232220215723,1634,0.003768807968308276,0.0026541680563241243,0.008706172020174558,0.020538894925266504,41.27294981640147,196.03243574051407,41.27294981640147,0.0,30.05752753977968,0,0,0,0.0,293.2418080713966,67.89362892452358,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5032,1689,1483,61.791666666666664,87.80343398460627,30.70134868164544,591.2280172903957,30.02059316220139,43.82716049382716,16.263736263736263,56.17283950617284,0.5334412252557343,245.56556620711595,0,14770.0,46.96799999999969,5.372916666666676,66.24562247110987,53.03641319451161,13.20920927659829,80.06025336638828,19.46506334734387,28.43423534997286,24.60217784453875,92.00780898765264,3.0,6,1718.9589634498118,1082,34.750462107208875,254,1477,nan,nan,6.628761308733374,1462,0.004534036462881925,0.003315142123028636,0.009662219020538033,0.036407371051609516,41.942544459644324,198.96306429548562,41.942544459644324,0.0,30.363201094391243,0,0,0,0.0,639.6836222762303,119.48513622414008,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5033,1688,1560,65.0,92.41706161137441,14.499347715251297,604.228720321321,14.137986519666006,36.49425287356321,7.985074626865673,63.50574712643679,0.5220377123861024,253.9374274886774,0,17320.0,47.32399999999964,5.396388888888902,72.09299295740435,57.520116400374384,14.572876557029987,79.78600144172091,19.325620173357734,32.90317504442696,24.61694135594743,100.12915688528388,3.0,6,1777.561992420742,1267,34.96448303078137,319,1732,nan,nan,8.836882221745327,1719,0.005140711007414384,0.005022179102525115,0.010610947036184365,0.03224288602359593,41.61431064572426,197.47527632344386,41.61431064572426,0.0,30.26178010471204,0,0,0,0.0,798.3300130266016,161.91721366640976,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5034,1638,1607,66.95833333333333,98.1074481074481,3.2284200452804375,600.7198512869684,3.0797461961326693,30.246913580246915,2.0547945205479423,69.75308641975309,0.5245765854472689,255.34722925296742,0,18790.0,46.61799999999961,5.284861111111129,75.81340093457638,60.70794373495528,15.105457199621139,80.07547872353538,19.611468694382214,36.11336245059806,24.59458128435722,105.29639018691171,3.0,6,1787.430604770772,1377,33.26071169208424,319,1879,nan,nan,9.091784634860232,1872,0.004856722561356962,0.004572563339024782,0.010457087028771631,0.02924357494339347,42.78846153846154,202.40758547008548,42.78846153846154,0.0,30.46207264957265,0,0,0,0.0,733.8886782103973,144.80769604990016,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5035,1755,1541,64.20833333333333,87.8062678062678,64.63504393614987,561.4094381126467,63.100736656448255,57.90816326530612,41.379310344827594,42.09183673469388,0.5161049327500887,272.3583794706383,0,10640.0,47.533999999999786,5.494722222222222,68.38311389395528,54.72909955096136,13.654014342993934,80.03306143068038,19.456258227334846,19.56272400727336,35.166375543688,94.97654707493794,3.0,6,1906.508656294468,745,24.161073825503358,206,1064,nan,nan,4.283733069198206,1054,0.004064262874002093,0.0029232610249891877,0.008548772986978292,0.02786625106818974,40.616698292220114,193.29601518026564,40.616698292220114,0.0,29.736242884250473,0,0,0,0.0,241.38229840636373,56.6868055261107,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5036,1720,1592,66.33333333333333,92.55813953488372,14.131564148391947,606.8778988697745,13.743532052903149,33.231707317073166,8.045977011494255,66.76829268292683,0.5162383378717964,259.23949143978876,0,17140.0,47.87599999999964,5.474722222222238,71.81587771261458,57.25266149942891,14.563216213185708,79.72145342083925,19.29242158346139,32.65730674228375,24.595354757145163,99.74427460085364,3.0,6,1814.6764400785212,1221,31.85913185913186,286,1714,nan,nan,7.895004324847832,1693,0.0046633221056395936,0.0034386208280920982,0.0102274103090167,0.0304080608766526,40.968694624926165,194.7584170112227,40.968694624926165,0.0,29.9314825753101,0,0,0,0.0,741.0971788034965,142.41084645960183,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5037,1663,1660,69.16666666666667,99.81960312687913,0.14140786790765886,3.3194626479477543,0.02855269124444692,28.735632183908045,0.0,71.26436781609196,0.5790154014961073,0.0,0,18620.0,47.157999999999625,5.353611111111128,45.8762376459619,36.697584358607116,9.17865328735481,79.9925762042897,20.916386531583086,36.697584358607116,0.0,63.71699673050269,3.0,6,0.0,1384,25.072254335260112,332,1862,nan,nan,7.818992762360722,1862,0.004199244233276435,0.003058125381357968,0.009497631166595959,0.019682438811287284,42.3093447905478,200.42588614393125,42.3093447905478,0.0,30.52094522019334,0,0,0,0.0,672.6884181200071,130.12247636519902,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5038,1698,1667,69.45833333333333,98.17432273262662,2.3142700301151327,589.0586683003218,2.125846496606915,32.098765432098766,2.2561863173216845,67.90123456790124,0.513912875757751,244.0061836196141,0,18450.0,47.75799999999961,5.4390277777777944,75.18791061809341,60.285712289972096,14.902198328121372,80.18006059003957,19.480400720172998,35.66627973281795,24.619432557154145,104.42765363624093,3.0,6,1708.0432853372986,1378,25.326560232220608,327,1845,nan,nan,8.890073872869834,1835,0.004844726906196095,0.004772561835125089,0.01033258968964219,0.04311593412421644,41.64850136239782,197.62561307901908,41.64850136239782,0.0,30.132970027247957,0,0,0,0.0,543.9477659879083,113.74919872673249,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5039,1667,1506,62.75,90.34193161367726,19.32742049937186,557.8934087445765,18.706853115771143,38.16254416961131,14.306358381502893,61.83745583038869,0.5307767838734622,235.27787741264595,0,16110.0,46.507999999999676,5.313472222222233,69.78850092777505,55.84393512372516,13.944565804049915,80.01882026599012,19.29255841619723,31.24167214410209,24.60226297962308,96.92847351079874,3.0,6,1646.9451418885217,1202,29.61730449251248,289,1611,nan,nan,7.699706053361297,1599,0.00481532586201457,0.004280283115804195,0.01042399837169796,0.024742370005697012,43.11444652908067,203.7861163227017,43.11444652908067,0.0,30.359599749843653,0,0,0,0.0,523.1669048162395,110.29626771695668,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
stress_near_transition,C5,5040,1735,1472,61.333333333333336,84.8414985590778,47.33530573949648,598.3969846928196,46.41064547089033,45.599999999999994,23.08823529411764,54.400000000000006,0.5208482311546987,261.886251677009,0,13770.0,48.171999999999706,5.5140277777777875,67.99249149803185,54.53605124794426,13.456440250087608,80.20893196644056,19.412775472592905,26.395010268170207,28.14104097977404,94.43401596948871,3.0,6,1833.203761739063,982,32.586558044806516,258,1377,nan,nan,6.604717052541673,1369,0.004824482872565137,0.0033190299291163683,0.011130275158211581,0.03623347682878375,40.95690284879474,194.72972972972974,40.95690284879474,0.0,29.918188458729,0,0,0,0.0,701.2141703081439,140.28343621395197,soc2.0_task1.5_kpi1.0,2.0,1.5,1.0,0,
